step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.380068408263982,0,0.0,0.9341033008300262,0,0.0
10.0,0,0.0,0.0,11.748153608747904,0,0.0,0.829066922122272,0,0.0
15.0,4,8.0,0.3333333333333333,6.888410034646422,4,8.0,0.4753660240145406,4,8.0
20.0,10,57.0,2.375,6.927384180729067,10,57.0,0.4669121393606445,10,57.0
25.0,13,114.0,3.3529411764705883,5.943568418725003,13,114.0,0.38915909607084886,13,114.0
30.0,20,205.0,6.029411764705882,4.727187537782633,20,205.0,0.3002945736392507,20,205.0
35.0,26,315.0,7.325581395348837,4.1676071135324655,26,315.0,0.2413714230965444,26,315.0
40.0,30,461.0,10.244444444444444,3.5948469061051727,30,461.0,0.21451371377710807,30,461.0
45.0,36,628.0,12.816326530612244,2.705716279631343,36,628.0,0.1925570879257768,36,628.0
50.0,40,821.0,15.49056603773585,2.23479413881472,40,821.0,0.1315856414623623,40,821.0
55.0,46,1036.0,17.266666666666666,2.485153127609258,46,1036.0,0.1324333440462527,46,1036.0
60.0,50,1281.0,20.333333333333332,1.7378185788971634,50,1281.0,0.10093835841766627,50,1281.0
65.0,56,1554.0,22.52173913043478,2.072939031662801,56,1554.0,0.12306873494373058,56,1554.0
70.0,63,1848.0,25.666666666666668,1.2224611763266249,63,1848.0,0.06884438616119096,63,1848.0
75.0,66,2172.0,27.15,1.878616920524068,66,2172.0,0.12235512026534841,66,2172.0
80.0,71,2516.0,30.313253012048193,1.2635749264298808,71,2516.0,0.07150790940715916,71,2516.0
85.0,76,2890.0,33.2183908045977,1.0882628934106302,76,2890.0,0.05974910484703864,76,2890.0
90.0,84,3290.0,36.15384615384615,0.9208649815409914,84,3290.0,0.03990030542943317,84,3290.0
95.0,86,3714.0,38.6875,0.8881426339949771,86,3714.0,0.03786562601886686,86,3714.0
100.0,92,4162.0,42.04040404040404,0.8677303599239566,92,4162.0,0.044006575972449176,92,4162.0
105.0,93,4624.0,46.24,0.595724391191277,93,4624.0,0.025294771709430282,93,4624.0
110.0,96,5099.0,49.990196078431374,0.7728138319444006,96,5099.0,0.037797360967081584,96,5099.0
115.0,97,5581.0,54.71568627450981,0.5843698333315018,97,5581.0,0.025262195669750184,97,5581.0
120.0,98,6069.0,58.922330097087375,0.5883055431429978,98,6069.0,0.027415263574366775,98,6069.0
125.0,99,6560.0,62.476190476190474,0.6671757902699226,99,6560.0,0.024901528384040143,99,6560.0
130.0,100,7057.0,66.5754716981132,0.7301225171839183,100,7057.0,0.03523118442028286,100,7057.0
135.0,101,7559.0,71.99047619047619,0.4447312035965629,101,7559.0,0.0160150072554201,101,7559.0
140.0,102,8066.0,75.38317757009345,0.639492885529814,102,8066.0,0.027884877929187007,102,8066.0
145.0,103,8577.0,78.68807339449542,0.7189766542620991,103,8577.0,0.026593821010115006,103,8577.0
150.0,104,9094.0,83.43119266055047,0.6080276568941602,104,9094.0,0.025508374967540777,104,9094.0
155.0,105,9615.0,87.4090909090909,0.570155685279631,105,9615.0,0.025545748996625497,105,9615.0
160.0,105,10140.0,91.35135135135135,0.5405342024053965,105,10140.0,0.024639611330844826,105,10140.0
165.0,106,10670.0,95.26785714285714,0.5332552724360529,106,10670.0,0.03366822234253,106,10670.0
170.0,108,11206.0,98.29824561403508,0.6050261203614082,108,11206.0,0.023798818275822184,108,11206.0
175.0,109,11747.0,103.95575221238938,0.4097054064506592,109,11747.0,0.016870379362341776,109,11747.0
180.0,109,12292.0,106.88695652173914,0.5634701104908147,109,12292.0,0.02570847449990631,109,12292.0
185.0,111,12843.0,111.67826086956522,0.46095137899294125,111,12843.0,0.017339584720137607,111,12843.0
190.0,112,13399.0,115.50862068965517,0.45007884926143693,112,13399.0,0.008328717851696591,112,13399.0
195.0,113,13960.0,119.31623931623932,0.4595961419386676,113,13960.0,0.016615819798053006,113,13960.0
200.0,114,14527.0,124.16239316239316,0.3358785175909255,114,14527.0,0.025163906116042134,114,14527.0
205.0,114,15097.0,127.94067796610169,0.440282594870554,114,15097.0,0.016637513378391935,114,15097.0
210.0,114,15667.0,132.77118644067798,0.4381715671155608,114,15667.0,0.016307044648049066,114,15667.0
215.0,114,16237.0,137.60169491525423,0.47032757589942636,114,16237.0,0.01654621977292202,114,16237.0
220.0,114,16807.0,142.4322033898305,0.4676762097840917,114,16807.0,0.016451645076224767,114,16807.0
225.0,114,17377.0,147.26271186440678,0.45114744768690734,114,17377.0,0.016374880238074815,114,17377.0
230.0,114,17947.0,152.09322033898306,0.4487655858385295,114,17947.0,0.015987694729861827,114,17947.0
235.0,114,18517.0,156.92372881355934,0.45361176897897276,114,18517.0,0.025191311408042028,114,18517.0
240.0,114,19087.0,161.75423728813558,0.44251974732059385,114,19087.0,0.016372489473794334,114,19087.0
245.0,114,19657.0,166.58474576271186,0.4309203134539566,114,19657.0,0.016066165444537237,114,19657.0
250.0,114,20227.0,171.41525423728814,0.4696734261584282,114,20227.0,0.016455758857807125,114,20227.0
255.0,114,20797.0,176.24576271186442,0.46605510195572186,114,20797.0,0.016875737522781566,114,20797.0
260.0,114,21367.0,181.07627118644066,0.4701967115458439,114,21367.0,0.01615466063325339,114,21367.0
265.0,114,21937.0,185.90677966101694,0.4798978174505541,114,21937.0,0.0166887446688464,114,21937.0
270.0,114,22507.0,189.1344537815126,0.5335671311403445,114,22507.0,0.017241379310344827,114,22507.0
275.0,114,23077.0,195.5677966101695,0.4149651368373635,114,23077.0,0.01665738362729411,114,23077.0
280.0,114,23647.0,202.11111111111111,0.29745939767173124,114,23647.0,0.01623113872744253,114,23647.0
285.0,114,24217.0,205.22881355932202,0.4137745810527149,114,24217.0,0.016280177801593045,114,24217.0
290.0,114,24787.0,210.0593220338983,0.4050957890938288,114,24787.0,0.01611952154177109,114,24787.0
295.0,114,25357.0,211.30833333333334,0.6382065316068306,114,25357.0,0.016215251367375165,114,25357.0
300.0,114,25927.0,219.72033898305085,0.4518744371085526,114,25927.0,0.015820465904754225,114,25927.0
305.0,114,26497.0,224.55084745762713,0.42782396381335336,114,26497.0,0.0169685397103014,114,26497.0
310.0,114,27067.0,229.38135593220338,0.4044684091453968,114,27067.0,0.01580241523632058,114,27067.0
315.0,114,27637.0,234.21186440677965,0.44044475356848284,114,27637.0,0.024780322001801487,114,27637.0
320.0,114,28207.0,239.04237288135593,0.4384193328556494,114,28207.0,0.01683602296177051,114,28207.0
325.0,114,28777.0,243.8728813559322,0.4258106567849547,114,28777.0,0.00823914926232468,114,28777.0
330.0,114,29347.0,246.61344537815125,0.552348101264373,114,29347.0,0.01677303225616512,114,29347.0
335.0,114,29917.0,253.53389830508473,0.464057011484875,114,29917.0,0.016065302262405462,114,29917.0
340.0,114,30487.0,258.364406779661,0.47048372920238485,114,30487.0,0.02538350889594063,114,30487.0
345.0,114,31057.0,263.1949152542373,0.45222311878859994,114,31057.0,0.016513888816409136,114,31057.0
350.0,114,31627.0,268.02542372881356,0.4480129447684358,114,31627.0,0.0160049353174295,114,31627.0
355.0,114,32197.0,270.56302521008405,0.5673483332669624,114,32197.0,0.016069371459125563,114,32197.0
360.0,114,32767.0,277.6864406779661,0.4648743188724427,114,32767.0,0.01661515629341534,114,32767.0
