step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.84712718751423,0,0.0,0.962756692944393,0,0.0
10.0,0,0.0,0.0,12.092360554060877,0,0.0,0.8383466776805882,0,0.0
15.0,0,0.0,0.0,7.872918397903909,0,0.0,0.5345244621642019,0,0.0
20.0,7,34.0,1.4166666666666667,9.307192991042967,7,34.0,0.5488165888841913,7,34.0
25.0,10,74.0,2.176470588235294,7.929338064716463,10,74.0,0.4521400662849219,10,74.0
30.0,15,144.0,4.645161290322581,6.466000001747422,15,144.0,0.3947535937877798,15,144.0
35.0,18,226.0,5.947368421052632,5.394115962762742,18,226.0,0.31187196885528046,18,226.0
40.0,23,339.0,8.692307692307692,5.024719585241409,23,339.0,0.3046593660522502,23,339.0
45.0,27,462.0,10.266666666666667,4.441741735839318,27,462.0,0.24076968938954052,27,462.0
50.0,31,611.0,13.282608695652174,3.73166265064875,31,611.0,0.20002789307592447,31,611.0
55.0,36,778.0,14.961538461538462,3.597608831954412,36,778.0,0.19259559167443036,36,778.0
60.0,39,965.0,17.545454545454547,3.512574517557943,39,965.0,0.17457728188730123,39,965.0
65.0,43,1171.0,19.516666666666666,3.292384587135809,43,1171.0,0.18486979140387488,43,1171.0
70.0,46,1397.0,22.901639344262296,2.368761933635373,46,1397.0,0.1167863868581627,46,1397.0
75.0,50,1644.0,24.176470588235293,3.1024466506036834,50,1644.0,0.19127301961826335,50,1644.0
80.0,54,1903.0,27.579710144927535,2.223151617500236,54,1903.0,0.11299723569792826,54,1903.0
85.0,59,2190.0,29.594594594594593,2.3793990741605766,59,2190.0,0.11712577075574925,59,2190.0
90.0,63,2496.0,32.41558441558441,1.840959490208676,63,2496.0,0.0848153552939505,63,2496.0
95.0,67,2825.0,35.75949367088607,1.707026797596604,67,2825.0,0.0920159612433814,67,2825.0
100.0,71,3170.0,38.19277108433735,1.7020649301813227,71,3170.0,0.08043791791594161,71,3170.0
105.0,73,3532.0,41.06976744186046,1.7122953066187276,73,3532.0,0.07274160255373831,73,3532.0
110.0,77,3907.0,44.39772727272727,1.6130166500751815,77,3907.0,0.06841174112883999,77,3907.0
115.0,78,4293.0,47.7,1.5814020880236361,78,4293.0,0.06768376726600564,78,4293.0
120.0,80,4690.0,51.53846153846154,1.4543456362585516,80,4690.0,0.06545529010280626,80,4690.0
125.0,82,5095.0,53.63157894736842,1.5859780696674675,82,5095.0,0.05873285201227149,82,5095.0
130.0,84,5513.0,58.03157894736842,1.4220254054888806,84,5513.0,0.06424827218583651,84,5513.0
135.0,86,5937.0,61.20618556701031,1.3998703555719485,86,5937.0,0.053108620530618995,86,5937.0
140.0,88,6373.0,65.03061224489795,1.3039782866843148,88,6373.0,0.05476262705852695,88,6373.0
145.0,90,6817.0,67.4950495049505,1.4337397992836547,90,6817.0,0.0565849043533313,90,6817.0
150.0,92,7272.0,71.29411764705883,1.2486962232615657,92,7272.0,0.05459045970433681,92,7272.0
155.0,88,6956.0,66.88461538461539,1.4104982845804654,88,7450.0,0.07244732310802668,88,7450.0
160.0,80,6490.0,61.22641509433962,1.7478004097424817,80,7369.0,0.07515528465440766,80,7369.0
165.0,77,6500.0,60.18518518518518,2.5102382014514317,77,7170.0,0.09338590796006385,77,7170.0
170.0,75,6835.0,63.28703703703704,2.857671489365233,75,7198.0,0.11128258249914005,75,7198.0
175.0,78,7222.0,68.13207547169812,2.979116261972163,78,7344.0,0.11322039774448983,78,7344.0
180.0,80,7619.0,71.87735849056604,2.6704449684354286,80,7622.0,0.07875445550952927,80,7622.0
185.0,85,8035.0,78.77450980392157,1.976755882602467,85,8035.0,0.04403201553860404,85,8035.0
190.0,87,8466.0,83.82178217821782,1.5720326305875603,87,8466.0,0.05589259726445361,87,8466.0
195.0,90,8909.0,90.90816326530613,0.9266059580354266,90,8909.0,0.03635244419830803,90,8909.0
200.0,93,9367.0,92.74257425742574,0.7310075483378812,93,9367.0,0.04404558386908004,93,9367.0
205.0,96,9843.0,95.5631067961165,0.6875851917530351,96,9843.0,0.035291902863435524,96,9843.0
210.0,98,10330.0,98.38095238095238,0.7103562479121079,98,10330.0,0.03568380241976588,98,10330.0
215.0,100,10827.0,100.25,0.7781893813336734,100,10827.0,0.04162310939909766,100,10827.0
220.0,96,10995.0,101.80555555555556,0.6680909558242526,96,11208.0,0.03209539635090318,96,11208.0
225.0,90,11062.0,99.65765765765765,1.338089161309426,90,11459.0,0.055785312311571154,90,11459.0
230.0,84,11314.0,100.12389380530973,2.091863469554086,84,11631.0,0.06273063815401407,84,11631.0
235.0,81,11662.0,104.125,2.692944815211638,81,11848.0,0.08541041607351965,81,11848.0
240.0,81,12058.0,109.61818181818182,3.076244437553575,81,12159.0,0.1214485818837922,81,12159.0
245.0,81,12463.0,121.0,2.48814853568645,81,12487.0,0.0851892724513928,81,12487.0
250.0,77,12763.0,123.9126213592233,2.1099610312503065,77,12825.0,0.08688437717034087,77,12825.0
255.0,83,13161.0,131.61,1.731678182035534,83,13176.0,0.059676851731744474,83,13176.0
260.0,86,13585.0,133.18627450980392,1.6711804884458918,86,13599.0,0.05500498163861082,86,13599.0
265.0,88,14021.0,137.4607843137255,1.5457540046685065,88,14035.0,0.05820233915032511,88,14035.0
270.0,90,14466.0,144.66,1.1654007762212748,90,14480.0,0.0369663540323892,90,14480.0
275.0,92,14922.0,149.22,0.9573941449988362,92,14936.0,0.047511051213868005,92,14936.0
280.0,93,15387.0,153.87,0.6185512176201073,93,15401.0,0.024011752517361727,93,15401.0
285.0,96,15861.0,152.5096153846154,0.8599053104525413,96,15875.0,0.045536293777756406,96,15875.0
290.0,97,16346.0,157.17307692307693,0.5889202896062103,97,16360.0,0.03367811299950399,97,16360.0
295.0,100,16842.0,157.4018691588785,0.7250878475207575,100,16856.0,0.0365298639446455,100,16856.0
300.0,95,17059.0,156.5045871559633,0.8610406838195918,95,17249.0,0.039328005480319485,95,17249.0
305.0,89,17133.0,155.75454545454545,1.3341096984564171,89,17516.0,0.05229513412807661,89,17516.0
310.0,83,17386.0,153.858407079646,2.225944857803933,83,17698.0,0.06914691815877351,83,17698.0
315.0,81,17727.0,161.15454545454546,2.5920269509021194,81,17939.0,0.08497862318091094,81,17939.0
320.0,80,18119.0,167.7685185185185,2.868246728452001,80,18225.0,0.10908775529799979,80,18225.0
325.0,80,18519.0,176.37142857142857,2.623665295529464,80,18551.0,0.08979552163460615,80,18551.0
330.0,78,18846.0,182.97087378640776,2.057029779343449,78,18907.0,0.09557971058081668,78,18907.0
335.0,84,19253.0,190.62376237623764,1.6575395314533647,84,19285.0,0.050591471880107285,84,19285.0
340.0,87,19681.0,191.07766990291262,1.7475348738294598,87,19713.0,0.07133308216065683,87,19713.0
345.0,90,20125.0,203.2828282828283,0.915237604393328,90,20157.0,0.0311225740424034,90,20157.0
350.0,93,20582.0,203.78217821782178,1.0308508840259107,93,20614.0,0.04828997529553215,93,20614.0
355.0,93,21047.0,206.34313725490196,0.743430142726755,93,21079.0,0.027818631251482095,93,21079.0
360.0,97,21526.0,203.0754716981132,1.0762159605466357,97,21558.0,0.05441151811616462,97,21558.0
365.0,97,22011.0,209.62857142857143,0.6250520754881056,97,22043.0,0.027092299186252177,97,22043.0
370.0,101,22508.0,210.3551401869159,0.7656433203628037,101,22540.0,0.03639442366505884,101,22540.0
375.0,96,22745.0,210.60185185185185,0.6158940961101705,96,22932.0,0.027882275022101968,96,22932.0
380.0,89,22842.0,207.65454545454546,1.359817172935644,89,23206.0,0.04562291837490457,89,23206.0
385.0,84,23094.0,204.3716814159292,2.1938907473045264,84,23401.0,0.06596327637214595,84,23401.0
390.0,80,23433.0,211.1081081081081,2.5084497409107045,80,23644.0,0.08452784499595421,80,23644.0
395.0,80,23818.0,220.53703703703704,2.858812832538167,80,23930.0,0.11393001241862726,80,23930.0
400.0,81,24219.0,226.34579439252337,2.9523855942321906,81,24255.0,0.10071096722827722,81,24255.0
405.0,82,24625.0,234.52380952380952,2.8606904216796765,82,24631.0,0.10077159187032193,82,24631.0
410.0,78,24925.0,246.78217821782178,2.1753483518561945,78,24972.0,0.0646614094055773,78,24972.0
415.0,80,25319.0,258.35714285714283,1.986510470430619,80,25320.0,0.06678368078617013,80,25320.0
420.0,83,25729.0,265.2474226804124,1.7662810259893862,83,25729.0,0.052530594657801355,83,25729.0
425.0,85,26149.0,272.3854166666667,1.2939287522929066,85,26149.0,0.06248088217711554,85,26149.0
430.0,87,26579.0,282.75531914893617,0.7773317918992277,87,26579.0,0.041471327739627986,87,26579.0
435.0,88,27018.0,275.6938775510204,1.0927532325915694,88,27018.0,0.05508223744176819,88,27018.0
440.0,90,27465.0,277.42424242424244,0.8269447183247836,90,27465.0,0.0344094264992104,90,27465.0
445.0,93,27926.0,273.7843137254902,1.0342233451430913,93,27926.0,0.04168042941598734,93,27926.0
450.0,95,28394.0,278.37254901960785,0.7433235857531337,95,28394.0,0.033826308282116184,95,28394.0
455.0,97,28874.0,277.63461538461536,0.8349797995166475,97,28874.0,0.04266253160758408,97,28874.0
460.0,99,29362.0,277.0,0.7703647751978798,99,29362.0,0.028592233164099683,99,29362.0
465.0,101,29863.0,276.50925925925924,0.8020044690734729,101,29863.0,0.037748891139819336,101,29863.0
470.0,98,30030.0,275.5045871559633,0.6258952144880816,98,30245.0,0.02809728488310692,98,30245.0
475.0,91,30090.0,268.6607142857143,1.4376274846616237,91,30446.0,0.05409333593628175,91,30446.0
480.0,86,30337.0,270.86607142857144,2.0451738350295217,86,30667.0,0.04722647082527998,86,30667.0
485.0,81,30664.0,273.7857142857143,2.665356818483813,81,30885.0,0.09182646919533047,81,30885.0
490.0,80,31058.0,290.2616822429907,2.8093408346480757,80,31163.0,0.10097483709027594,80,31163.0
495.0,82,31460.0,294.01869158878503,2.763598843328666,82,31503.0,0.10559387451008678,82,31503.0
500.0,78,31767.0,308.41747572815535,2.1686893195040287,78,31840.0,0.08754147025742647,78,31840.0
505.0,82,32168.0,312.31067961165047,2.1270785131733776,82,32197.0,0.08746823647983275,82,32197.0
