step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.987052600909363,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.776868654372414,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.347294836435678,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,11.655648895668108,0,0.0,0.9496667304835784,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,11.749628763711657,0,0.0,0.9561883508310176,0,0.0,0.9355791390600375,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9486514233455563,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,12.002340447364336,0,0.0,0.9612552446921797,0,0.0,0.9354101519404919,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9448549362618927,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,12.091127428626766,0,0.0,0.906337679921657,0,0.0,0.9620663715897078,0,0.0,1.0,0,0.0,0.9620762584562721,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9598174745885822,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,12.011076639241399,0,0.0,0.8729391552135066,0,0.0,0.8307739009383821,0,0.0,1.0,0,0.0,0.9293268677166626,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9333983677865455,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9452204212685091,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,1,3.0,0.04411764705882353,11.854576041431457,0,0.0,0.9070085727817011,1,3.0,0.8586735067136363,0,0.0,1.0,0,0.0,0.7603082711101452,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9174025296727198,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9311712399548577,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0
50.0,4,15.0,0.2,11.042966292765039,0,0.0,0.9481479436156395,1,8.0,0.7459628324017905,0,0.0,1.0,3,7.0,0.5060418659865569,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9216341115279294,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9222004502838478,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9590683821182397,4,15.0
55.0,10,50.0,0.6172839506172839,10.472799448486,0,0.0,0.9504333611548571,5,23.0,0.5552797130011197,0,0.0,1.0,5,27.0,0.4751291940491715,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9340112398392939,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8768178362293712,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9150773845747867,10,50.0
60.0,15,111.0,1.247191011235955,9.55749241794737,0,0.0,0.9415001805536167,7,53.0,0.3749788416287757,0,0.0,1.0,8,58.0,0.36080447094363527,0,0.0,1.0,0,0.0,0.9370615975614656,0,0.0,1.0,0,0.0,0.9147201635770379,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8630378459276389,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9109770059084958,15,111.0
