step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.206234906885467,0,0.0,0.7721408106961193,0,0.0,0.8742182734863383,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.73193606191601,0,0.0,0.828436431294736,0,0.0,0.8907553631069096,0,0.0,0.9579037056270568,0,0.0,1.0,0,0.0
15.0,1,1.0,0.03333333333333333,10.798302151949814,1,1.0,0.6826086419225476,0,0.0,0.8875832539037204,0,0.0,0.8877784383227307,0,0.0,0.9532385038382173,1,1.0
20.0,4,10.0,0.2631578947368421,9.109627548699654,3,9.0,0.5309990444497475,0,0.0,0.8704813102646174,1,1.0,0.5291111894734594,0,0.0,0.8367795799125061,4,10.0
25.0,6,19.0,0.40425531914893614,7.738911637178359,2,15.0,0.40397413969427803,0,0.0,0.8190982891248588,4,14.0,0.36920468090714564,0,0.0,0.845999942693618,6,29.0
30.0,11,55.0,0.9821428571428571,6.244716693023773,3,20.0,0.2797610522089914,2,5.0,0.505959287652247,6,41.0,0.366587773282095,0,0.0,0.8628224761479367,11,66.0
35.0,18,116.0,1.8125,5.112160154400574,4,36.0,0.19841568081631544,5,24.0,0.4156198182924191,9,80.0,0.2426714466105088,0,0.0,0.8792994044581307,18,140.0
40.0,22,205.0,2.8472222222222223,5.227664496334307,5,51.0,0.20633680029241902,5,51.0,0.5467061058332778,12,134.0,0.12317910504200019,0,0.0,0.8614200428206209,22,236.0
45.0,24,293.0,3.8051948051948052,4.594128380958411,4,55.0,0.14889238376836997,5,76.0,0.5282638585686394,15,204.0,0.009823786843756137,0,0.0,0.862886096769303,24,335.0
50.0,32,409.0,5.1125,3.968760208657296,6,60.0,0.14462292328977508,8,108.0,0.31911606383146013,18,290.0,0.11285572572451347,0,0.0,0.8610760392473574,32,458.0
55.0,35,552.0,7.076923076923077,3.467630644786358,7,85.0,0.10238934430478076,9,152.0,0.3003908923822321,19,385.0,0.10922644286813919,0,0.0,0.8916563716729788,35,622.0
60.0,36,704.0,8.380952380952381,4.026869190870323,8,103.0,0.11248831739318574,9,199.0,0.39565622689829455,19,478.0,0.07375679464379578,0,0.0,0.9048616467806863,36,780.0
65.0,37,842.0,9.905882352941177,3.599723370955875,8,126.0,0.10931202331589725,10,245.0,0.2792427149153884,19,573.0,0.0,0,0.0,0.8066132918379453,37,944.0
70.0,40,998.0,11.604651162790697,3.8138913340130802,9,137.0,0.11230653022127854,12,302.0,0.28807790188807947,19,670.0,0.11341816437783328,0,0.0,0.8267244053840092,40,1109.0
75.0,39,1144.0,13.149425287356323,3.8647217607207063,8,148.0,0.11290669173217063,12,362.0,0.27207378556900147,19,765.0,0.1559959126166968,0,0.0,0.7864514763249691,39,1275.0
80.0,38,1296.0,14.89655172413793,3.9164774913809217,7,156.0,0.11830458748524278,12,424.0,0.28608462237132565,19,858.0,0.08410712994937714,0,0.0,0.79587945447362,38,1438.0
85.0,38,1445.0,16.235955056179776,3.7935350372967185,6,173.0,0.1215817152717036,13,485.0,0.25463188284758803,19,953.0,0.0,0,0.0,0.7730539625828033,38,1611.0
90.0,41,1620.0,18.0,3.822215600929591,7,159.0,0.10988835362999412,15,556.0,0.19736962304511735,19,1050.0,0.1074165896865684,0,0.0,0.8696163813314094,41,1765.0
95.0,40,1791.0,20.352272727272727,3.640682938554558,6,169.0,0.1175453236349548,15,631.0,0.18675296466506733,19,1145.0,0.1598792486415037,0,0.0,0.8516163025313979,40,1945.0
