step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.549994900074765,0,0.0,0.9209536308091857,0,0.0
10.0,0,0.0,0.0,12.645973246756071,0,0.0,0.9213551599196538,0,0.0
15.0,3,5.0,0.1388888888888889,10.517797436487163,3,5.0,0.7323249596712492,3,5.0
20.0,9,37.0,0.8222222222222222,9.41705429955063,9,37.0,0.5860538906413423,9,37.0
25.0,12,67.0,1.2884615384615385,7.539909572904383,12,75.0,0.47616504616517963,12,75.0
30.0,20,154.0,2.75,6.177254362642602,20,154.0,0.37929877550064983,20,154.0
35.0,26,199.0,3.1587301587301586,4.741787193568402,26,243.0,0.26401409969795997,26,243.0
40.0,35,346.0,4.942857142857143,4.717413399816099,35,353.0,0.27658801092016067,35,353.0
45.0,46,552.0,7.1688311688311686,4.007829736149132,46,552.0,0.1849258918718269,46,552.0
50.0,57,812.0,9.666666666666666,3.3300490345565144,57,812.0,0.1702866783138837,57,812.0
55.0,67,1122.0,12.606741573033707,2.3246541946028527,67,1122.0,0.12015315851743447,67,1122.0
60.0,76,1480.0,15.578947368421053,1.9792113922290744,76,1480.0,0.11015072898918205,76,1480.0
65.0,85,1879.0,18.97979797979798,1.515953226052421,85,1879.0,0.07401272463956013,85,1879.0
70.0,90,2318.0,22.725490196078432,1.3886091402993748,90,2319.0,0.05434520523357887,90,2319.0
75.0,92,2776.0,26.95145631067961,1.3166754262145859,92,2777.0,0.05076041964699053,92,2777.0
80.0,93,3240.0,31.45631067961165,1.05188197627988,93,3241.0,0.04681601263989455,93,3241.0
85.0,91,3448.0,32.528301886792455,1.195274853953602,91,3612.0,0.05192050784339962,91,3612.0
90.0,84,3616.0,33.48148148148148,1.730970324277514,84,3880.0,0.07710042925145638,84,3880.0
95.0,79,3956.0,35.63963963963964,2.498953239929624,79,4127.0,0.10018912039000791,79,4127.0
100.0,77,4321.0,39.642201834862384,2.127368430337774,77,4469.0,0.09310855503559035,77,4469.0
105.0,83,4724.0,43.74074074074074,1.9967793573451966,83,4865.0,0.07193605866103132,83,4865.0
110.0,83,5104.0,47.25925925925926,1.7237850989039045,83,5228.0,0.06637627865623548,83,5228.0
115.0,81,5474.0,51.1588785046729,2.0704396233026925,81,5537.0,0.08021946534513173,81,5537.0
120.0,80,5867.0,54.324074074074076,2.6487927418920454,80,5884.0,0.10269913724414563,80,5884.0
125.0,79,6225.0,58.177570093457945,2.175192210747909,79,6256.0,0.08942112537286434,79,6256.0
130.0,83,6628.0,62.528301886792455,2.1541218436547513,83,6643.0,0.0736526728792598,83,6643.0
135.0,87,7055.0,67.19047619047619,1.981804908963967,87,7068.0,0.0653518778949176,87,7068.0
140.0,83,7410.0,69.90566037735849,2.0243455294081016,83,7466.0,0.07021387133268689,83,7466.0
145.0,79,7747.0,74.49038461538461,2.1924452502118985,79,7812.0,0.09139175271781479,79,7812.0
150.0,79,8134.0,78.21153846153847,2.4184040121941197,79,8156.0,0.08800237742592933,79,8156.0
155.0,78,8504.0,82.5631067961165,2.098776334932145,78,8533.0,0.08729864320858904,78,8533.0
160.0,82,8906.0,85.63461538461539,2.249525345547892,82,8928.0,0.07171401126069799,82,8928.0
165.0,86,9333.0,91.5,1.9864748630692168,86,9355.0,0.06281522771664368,86,9355.0
170.0,88,9767.0,95.75490196078431,1.7068368233790943,88,9789.0,0.05924221878764621,88,9789.0
175.0,89,10212.0,102.12,1.231256486724554,89,10234.0,0.048346382181838204,89,10234.0
180.0,92,10668.0,105.62376237623762,1.1410526667034782,92,10690.0,0.05151062375998902,92,10690.0
185.0,93,11132.0,106.01904761904763,1.3529739861776768,93,11154.0,0.057549801198984334,93,11154.0
190.0,96,11607.0,110.54285714285714,1.051881465612204,96,11629.0,0.04682443412443843,96,11629.0
195.0,91,11856.0,109.77777777777777,1.1876980912802495,91,12014.0,0.062436881391962566,91,12014.0
200.0,85,12014.0,110.22018348623853,1.5695841177584144,85,12299.0,0.07102731270559878,85,12299.0
205.0,82,12338.0,110.16071428571429,2.3044033136688498,82,12524.0,0.07773235832612485,82,12524.0
210.0,82,12731.0,114.69369369369369,2.7075757642420575,82,12838.0,0.10690974095465967,82,12838.0
215.0,78,13065.0,119.86238532110092,2.3981584345621276,78,13173.0,0.11235183847709386,78,13173.0
220.0,82,13460.0,124.62962962962963,2.329519364080071,82,13533.0,0.08757960621940386,82,13533.0
225.0,87,13886.0,128.57407407407408,2.1406593848254123,87,13957.0,0.06561653726278402,87,13957.0
230.0,91,14332.0,135.20754716981133,1.687635553235619,91,14403.0,0.051341505691114536,91,14403.0
235.0,87,14683.0,135.9537037037037,1.67583911868842,87,14793.0,0.07178805790032994,87,14793.0
240.0,81,14988.0,140.07476635514018,1.8936405617246215,81,15116.0,0.08409676735998128,81,15116.0
245.0,79,15346.0,143.42056074766356,1.8514941374561524,79,15479.0,0.07517174720968577,79,15479.0
250.0,84,15751.0,148.5943396226415,1.8100967199093985,84,15883.0,0.057670724219741766,84,15883.0
255.0,89,16185.0,151.26168224299064,1.6613618455971715,89,16317.0,0.052379046146153276,89,16317.0
260.0,94,16645.0,155.5607476635514,1.3011781767327792,94,16777.0,0.05627102170335426,94,16777.0
265.0,97,17125.0,158.5648148148148,1.1834634639567494,97,17257.0,0.05562562842899592,97,17257.0
270.0,93,17467.0,158.79090909090908,1.2207164943012583,93,17651.0,0.06707837398211618,93,17651.0
275.0,86,17720.0,158.21428571428572,1.6633565816120084,86,17963.0,0.06513548214714554,86,17963.0
280.0,81,18029.0,160.97321428571428,2.103374384904615,81,18217.0,0.06057181057547077,81,18217.0
285.0,82,18431.0,163.10619469026548,2.6532143588071557,82,18544.0,0.09825744797995824,82,18544.0
290.0,79,18768.0,169.0810810810811,2.442461728900567,79,18886.0,0.10712996621310746,79,18886.0
295.0,83,19161.0,174.1909090909091,2.264033702773693,83,19248.0,0.08515485209656132,83,19248.0
