step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.132400831639778,0,0.0,0.921300952836657,0,0.0
10.0,0,0.0,0.0,12.642653363408533,0,0.0,0.8941170478613496,0,0.0
15.0,5,9.0,0.25,9.22079837635478,5,9.0,0.6459150808062701,5,9.0
20.0,12,58.0,1.288888888888889,7.637814697468611,12,58.0,0.4894861298602179,12,58.0
25.0,17,116.0,2.188679245283019,5.770907225802163,17,120.0,0.38108115599842823,17,120.0
30.0,29,239.0,3.918032786885246,5.2991959779191395,29,239.0,0.321294885370851,29,239.0
35.0,38,411.0,6.044117647058823,4.20509436003068,38,411.0,0.21420245834085497,38,411.0
40.0,49,634.0,8.342105263157896,3.3031413559980805,49,634.0,0.16959160165033288,49,634.0
45.0,54,831.0,10.25925925925926,2.3138294790453653,54,872.0,0.13350740814810394,54,872.0
50.0,63,1115.0,12.52808988764045,2.294848740003093,63,1124.0,0.1166353328526336,63,1124.0
55.0,73,1461.0,14.908163265306122,2.5784037219443885,73,1461.0,0.08807251215936207,73,1461.0
60.0,75,1796.0,18.141414141414142,2.3505056066510166,75,1819.0,0.09870121381662979,75,1819.0
65.0,76,2172.0,22.163265306122447,2.269312872585524,76,2172.0,0.09461870798839273,76,2172.0
70.0,78,2551.0,25.767676767676768,2.060950206168603,78,2554.0,0.08806410563000819,78,2554.0
75.0,79,2945.0,30.051020408163264,2.1647115148619416,79,2945.0,0.0802643204529852,79,2945.0
80.0,76,3306.0,34.08247422680412,1.968468079893558,76,3318.0,0.07610122990634094,76,3318.0
85.0,78,3693.0,37.683673469387756,2.191748316454575,78,3693.0,0.08192281221036904,78,3693.0
90.0,77,4070.0,41.53061224489796,1.9169560237302303,77,4074.0,0.08522594318759691,77,4074.0
95.0,80,4469.0,45.60204081632653,2.209468004500991,80,4469.0,0.07700871393823684,80,4469.0
100.0,76,4826.0,49.244897959183675,1.9583908606133473,76,4845.0,0.07446763913049627,76,4845.0
105.0,78,5211.0,53.72164948453608,2.2288991472978195,78,5211.0,0.0872097765553085,78,5211.0
110.0,78,5591.0,57.05102040816327,2.0218550888497404,78,5594.0,0.08335628675550318,78,5594.0
115.0,80,5987.0,61.72164948453608,2.1204600015769004,80,5987.0,0.08262692999860458,80,5987.0
120.0,78,6349.0,64.78571428571429,1.9776089831751762,78,6365.0,0.0845169941054155,78,6365.0
125.0,79,6737.0,68.05050505050505,2.3561881738429054,79,6739.0,0.08700663460039938,79,6739.0
130.0,78,7109.0,72.54081632653062,1.9341196869369384,78,7116.0,0.08153311345117917,78,7116.0
135.0,80,7507.0,77.3917525773196,1.9088657613391908,80,7509.0,0.06696050642870122,80,7509.0
140.0,78,7874.0,80.34693877551021,1.8825611518122674,78,7894.0,0.0807727119478278,78,7894.0
145.0,80,8263.0,83.46464646464646,2.1652142870864366,80,8267.0,0.09225828931200675,80,8267.0
150.0,81,8664.0,87.51515151515152,2.094887523472555,81,8664.0,0.07143216174398306,81,8664.0
155.0,77,9008.0,91.91836734693878,1.9435419992272671,77,9037.0,0.0770520346724283,77,9037.0
160.0,77,9388.0,94.82828282828282,2.3608673418981545,77,9390.0,0.09903368119607536,77,9390.0
165.0,79,9781.0,99.8061224489796,2.2554591211794177,79,9781.0,0.07862078491678563,79,9781.0
170.0,77,10149.0,102.51515151515152,2.070839704109232,77,10160.0,0.08816590360847924,77,10160.0
175.0,79,10539.0,108.64948453608247,2.121058895635673,79,10539.0,0.08005380451258762,79,10539.0
180.0,77,10910.0,112.47422680412372,1.9515276398405526,77,10915.0,0.07846961950973855,77,10915.0
185.0,79,11303.0,116.52577319587628,2.183504056339008,79,11303.0,0.09176786432531207,79,11303.0
190.0,81,11704.0,119.42857142857143,2.1381921073462355,81,11704.0,0.07263654248900857,81,11704.0
195.0,77,12047.0,122.92857142857143,1.8721823171474417,77,12075.0,0.0886282725437768,77,12075.0
200.0,78,12432.0,128.16494845360825,2.0215834106913406,78,12433.0,0.09263629236800223,78,12433.0
205.0,78,12809.0,129.3838383838384,2.084887438886656,78,12814.0,0.08563567660229199,78,12814.0
210.0,80,13207.0,133.40404040404042,2.119263978081274,80,13208.0,0.07065684425375389,80,13208.0
215.0,77,13569.0,137.06060606060606,2.1242993732671027,77,13588.0,0.08991828426807273,77,13588.0
220.0,78,13953.0,142.37755102040816,2.2724075218092814,78,13956.0,0.09149453785082301,78,13956.0
225.0,78,14332.0,143.32,2.225809035911429,78,14338.0,0.08562147115970101,78,14338.0
230.0,80,14731.0,150.31632653061226,2.2008337315594857,80,14734.0,0.08373828767514939,80,14734.0
235.0,79,15094.0,152.46464646464648,1.9056955642961246,79,15113.0,0.08079337495665691,79,15113.0
240.0,79,15486.0,158.0204081632653,2.110504481259215,79,15490.0,0.07943204960653646,79,15490.0
245.0,81,15889.0,162.1326530612245,2.10573749740686,81,15889.0,0.06264858709432655,81,15889.0
250.0,77,16228.0,165.59183673469389,2.013489555051045,77,16260.0,0.08012582596848711,77,16260.0
255.0,78,16609.0,171.22680412371133,1.9833371728233093,78,16609.0,0.0699662342121428,78,16609.0
260.0,78,16989.0,171.6060606060606,2.1354600341359453,78,16991.0,0.08342028109121878,78,16991.0
265.0,80,17388.0,175.63636363636363,2.127620331139455,80,17388.0,0.08205194003268139,80,17388.0
270.0,78,17750.0,177.5,2.0532738217327733,78,17771.0,0.09127926590330719,78,17771.0
275.0,78,18138.0,185.08163265306123,2.2565275317629943,78,18139.0,0.0963778201698333,78,18139.0
280.0,80,18534.0,189.12244897959184,2.2351317463897074,80,18534.0,0.06143169398363471,80,18534.0
285.0,76,18886.0,192.71428571428572,2.1448852230642634,76,18905.0,0.08088095387070157,76,18905.0
290.0,78,19270.0,196.6326530612245,2.396362094676759,78,19270.0,0.0918724643786749,78,19270.0
295.0,76,19646.0,200.46938775510205,2.3363697776255807,76,19646.0,0.09403973840289169,76,19646.0
300.0,78,20033.0,206.5257731958763,2.3491789236060203,78,20033.0,0.08244388435468453,78,20033.0
305.0,77,20407.0,212.57291666666666,2.118083190846676,77,20410.0,0.08340330691463944,77,20410.0
310.0,77,20792.0,216.58333333333334,2.339884216717943,77,20792.0,0.09257462321543763,77,20792.0
315.0,76,21166.0,220.47916666666666,2.1104013633621928,76,21167.0,0.08529180470408075,76,21167.0
320.0,77,21551.0,226.85263157894738,2.107074015435239,77,21551.0,0.08362692461888034,77,21551.0
325.0,78,21929.0,230.83157894736843,1.9255734388744856,78,21932.0,0.08170606265031093,78,21932.0
330.0,80,22323.0,237.4787234042553,1.7814537416382643,80,22323.0,0.06643762632461411,80,22323.0
335.0,77,22688.0,233.89690721649484,1.8979450496012602,77,22701.0,0.08139403812532753,77,22701.0
340.0,79,23078.0,235.48979591836735,2.1773938565327136,79,23078.0,0.09248792599591041,79,23078.0
345.0,77,23447.0,236.83838383838383,2.313748604934287,77,23455.0,0.09931370078310141,77,23455.0
350.0,78,23834.0,245.71134020618555,2.3851280432832467,78,23834.0,0.07787025433347955,78,23834.0
355.0,76,24206.0,252.14583333333334,2.0268670323836955,76,24206.0,0.08054131426250893,76,24206.0
360.0,78,24590.0,258.8421052631579,2.14446141374346,78,24590.0,0.08564875110910607,78,24590.0
365.0,80,24984.0,260.25,1.9453012930342677,80,24984.0,0.07033829522510363,80,24984.0
370.0,76,25346.0,258.6326530612245,1.927715203459308,76,25358.0,0.08470247731389,76,25358.0
375.0,77,25730.0,262.55102040816325,2.301782802543515,77,25730.0,0.10083506522674783,77,25730.0
380.0,76,26106.0,266.38775510204084,2.2131007931186346,76,26108.0,0.08706252537805712,76,26108.0
385.0,78,26493.0,273.12371134020617,2.18325247402991,78,26493.0,0.07463582912084527,78,26493.0
390.0,80,26888.0,280.0833333333333,1.9860840969507212,80,26888.0,0.0807451296972342,80,26888.0
395.0,76,27246.0,280.88659793814435,1.9673279989085695,76,27260.0,0.09289246116484853,76,27260.0
400.0,78,27630.0,290.8421052631579,1.9785320347657267,78,27630.0,0.09077287455460135,78,27630.0
405.0,80,28025.0,288.91752577319585,2.262520343940453,80,28025.0,0.07342001912533494,80,28025.0
410.0,76,28386.0,292.63917525773195,1.814991514571059,76,28398.0,0.0676991430925505,76,28398.0
415.0,78,28774.0,296.63917525773195,2.217021522718991,78,28774.0,0.09096833507154684,78,28774.0
420.0,80,29168.0,300.70103092783506,2.2140262854495267,80,29168.0,0.08392622791795516,80,29168.0
425.0,77,29527.0,304.4020618556701,1.8808816108799398,77,29539.0,0.08417050896892087,77,29539.0
430.0,79,29918.0,314.9263157894737,1.9262943590214041,79,29918.0,0.0872623450759991,79,29918.0
435.0,81,30319.0,306.25252525252523,2.323549420485772,81,30319.0,0.07680510944855452,81,30319.0
440.0,77,30667.0,312.92857142857144,1.962384332462991,77,30695.0,0.07105451936313174,77,30695.0
445.0,78,31053.0,323.46875,1.9620309448601427,78,31054.0,0.0910085327827979,78,31054.0
450.0,80,31448.0,317.65656565656565,2.3106661347255133,80,31448.0,0.08564295579582294,80,31448.0
455.0,76,31806.0,318.06,2.2800284849725894,76,31818.0,0.09483957617250446,76,31818.0
460.0,79,32192.0,331.87628865979383,2.218210682056767,79,32192.0,0.08957809695099463,79,32192.0
465.0,77,32569.0,335.7628865979381,2.1003968148611856,77,32574.0,0.0767668246576893,77,32574.0
470.0,79,32963.0,339.82474226804123,2.1892801851751553,79,32963.0,0.08510208083825427,79,32963.0
475.0,81,33364.0,340.44897959183675,2.2267105311290476,81,33364.0,0.08197821180293728,81,33364.0
480.0,77,33707.0,347.49484536082474,1.8174857764493835,77,33733.0,0.08099381090750928,77,33733.0
485.0,78,34096.0,355.1666666666667,2.062973178809004,78,34097.0,0.08752028999051899,78,34097.0
490.0,78,34469.0,351.7244897959184,2.066635890051762,78,34472.0,0.07965337708957036,78,34472.0
495.0,80,34864.0,359.4226804123711,2.0190434294627067,80,34864.0,0.0700220516862403,80,34864.0
500.0,78,35228.0,363.17525773195877,1.8901810917193427,78,35244.0,0.07416711772332613,78,35244.0
505.0,80,35620.0,371.0416666666667,1.9465137172700608,80,35620.0,0.07520645191398281,80,35620.0
510.0,79,35993.0,363.5656565656566,1.9004983558377393,79,36001.0,0.0857525865066848,79,36001.0
