step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.873277614249744,0,0.0,0.9535969913147783,0,0.0
10.0,0,0.0,0.0,12.424425068844798,0,0.0,0.8980982857041325,0,0.0
15.0,2,3.0,0.08333333333333333,10.311240773197872,2,3.0,0.7211486365441009,2,3.0
20.0,7,29.0,0.6444444444444445,9.086629371062589,7,29.0,0.5943576650824898,7,29.0
25.0,16,90.0,1.7307692307692308,7.792520239755081,16,90.0,0.48867643958099105,16,90.0
30.0,24,195.0,3.3620689655172415,6.366034990209761,24,195.0,0.38130240011030436,24,195.0
35.0,31,337.0,5.435483870967742,5.285996182296412,31,337.0,0.299271768457569,31,337.0
40.0,39,521.0,7.338028169014085,4.84224056537973,39,521.0,0.27253261187444777,39,521.0
45.0,48,742.0,10.027027027027026,3.7727636198092673,48,742.0,0.2072843951285189,48,742.0
50.0,56,1003.0,12.231707317073171,3.469225007660954,56,1003.0,0.18908898398547658,56,1003.0
55.0,63,1303.0,14.477777777777778,3.0056189418336037,63,1303.0,0.15116138256355569,63,1303.0
60.0,71,1643.0,16.938144329896907,2.955221303116999,71,1643.0,0.13957245558184586,71,1643.0
65.0,76,2013.0,20.333333333333332,2.5709413883276953,76,2013.0,0.12256291091354606,76,2013.0
70.0,80,2405.0,23.57843137254902,2.296216762552682,80,2405.0,0.11578067819746324,80,2405.0
75.0,84,2821.0,26.866666666666667,2.1582339118692664,84,2821.0,0.09699731612859645,84,2821.0
80.0,88,3253.0,30.12037037037037,2.0856837343490735,88,3253.0,0.0897406389811037,88,3253.0
85.0,92,3706.0,32.50877192982456,2.2261640835463656,92,3706.0,0.0931292701245571,92,3706.0
90.0,96,4176.0,36.0,2.0689991244769,96,4176.0,0.09380341098930832,96,4176.0
95.0,100,4666.0,38.56198347107438,2.1220990355135454,100,4666.0,0.0996551763023219,100,4666.0
100.0,98,4705.0,38.5655737704918,1.6626657432262772,98,5002.0,0.07827755520941583,98,5002.0
105.0,96,4645.0,37.16,1.6595183433138134,96,5120.0,0.07466446657767167,96,5120.0
110.0,92,4716.0,36.84375,1.59001426133487,92,5576.0,0.06418627799409093,92,5576.0
115.0,87,4950.0,37.786259541984734,1.8693562174577005,87,5994.0,0.07494037494182453,87,5994.0
120.0,89,5371.0,41.0,2.301020718301537,89,6417.0,0.08887441266650414,89,6417.0
125.0,95,5832.0,43.52238805970149,2.3312296535879233,95,6878.0,0.07531886531957509,95,6878.0
130.0,97,6215.0,46.72932330827068,1.819033462096694,97,7199.0,0.07162440938872772,97,7199.0
135.0,101,6574.0,49.803030303030305,1.6157092870898593,101,7396.0,0.0686081207721633,101,7396.0
140.0,97,6936.0,51.37777777777778,1.524198550113453,97,7880.0,0.06851834562806798,97,7880.0
145.0,92,7282.0,54.343283582089555,1.7485549251008148,92,8322.0,0.06726365748475077,92,8322.0
150.0,91,7683.0,56.91111111111111,2.231599287623487,91,8751.0,0.07633545111656968,91,8751.0
155.0,98,8160.0,60.0,2.0644479776007874,98,9221.0,0.05831283328855147,98,9221.0
160.0,99,8542.0,64.22556390977444,1.5549705304006614,99,9539.0,0.06564516653764348,99,9539.0
165.0,101,8883.0,65.8,1.5884394399800226,101,9726.0,0.06704611515791974,101,9726.0
170.0,99,9240.0,67.44525547445255,1.6187591655207119,99,10144.0,0.06881218933585898,99,10144.0
175.0,90,9563.0,69.8029197080292,1.9227379089889816,90,10587.0,0.07312035662443166,90,10587.0
180.0,92,9947.0,73.68148148148148,2.0460302046303687,92,11019.0,0.0808903635281852,92,11019.0
185.0,92,10325.0,74.81884057971014,1.7177293194881977,92,11317.0,0.06975300636816474,92,11317.0
190.0,92,10685.0,77.99270072992701,1.619506182620872,92,11429.0,0.06071964326307993,92,11429.0
195.0,95,11056.0,78.97142857142858,1.4895157293073205,95,11885.0,0.060852333109197215,95,11885.0
200.0,91,11417.0,82.13669064748201,1.5191122827224774,91,12317.0,0.05853565400491296,91,12317.0
205.0,91,11834.0,85.13669064748201,1.8972450161483023,91,12738.0,0.06622344959023835,91,12738.0
210.0,97,12301.0,87.86428571428571,2.0269692120876357,97,13197.0,0.08119826460529357,97,13197.0
215.0,102,12802.0,92.76811594202898,2.068896736282764,102,13687.0,0.07549245006886647,102,13687.0
220.0,104,13192.0,94.90647482014388,1.8810571655896038,104,14039.0,0.07653429864260781,104,14039.0
225.0,104,13521.0,98.69343065693431,1.6453395899439185,104,14273.0,0.06172624990825666,104,14273.0
230.0,100,13852.0,101.1094890510949,1.3498799305942197,100,14771.0,0.05340444041679457,100,14771.0
235.0,89,14123.0,102.34057971014492,1.720465040388631,89,15210.0,0.075173570765316,89,15210.0
240.0,91,14505.0,103.60714285714286,2.0026597445435423,91,15632.0,0.07065011206559171,91,15632.0
245.0,98,14981.0,106.2482269503546,1.9327283260848094,98,16097.0,0.06735062390361095,98,16097.0
250.0,104,15489.0,112.23913043478261,2.043049596939726,104,16600.0,0.07458944864297222,104,16600.0
255.0,107,15874.0,115.02898550724638,1.5768165801436702,107,16956.0,0.0599720835989918,107,16956.0
260.0,107,16226.0,118.43795620437956,1.4963236567723992,107,17179.0,0.058447449298719124,107,17179.0
265.0,100,16528.0,118.90647482014388,1.5417668028625744,100,17607.0,0.06403765550911777,100,17607.0
