step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.109826566512494,0,0.0,0.8977515840874942,0,0.0
10.0,0,0.0,0.0,12.106894636000087,0,0.0,0.8621633856397682,0,0.0
15.0,6,9.0,0.25,9.238808779406222,6,9.0,0.6676489699394959,6,9.0
20.0,13,58.0,1.3181818181818181,7.461039524630916,13,58.0,0.5250685260740421,13,58.0
25.0,23,155.0,2.980769230769231,5.748561265602381,23,155.0,0.3749130713672441,23,155.0
30.0,33,299.0,4.82258064516129,4.623215616800052,33,299.0,0.2863051360550462,33,299.0
35.0,38,396.0,5.739130434782608,3.67270888627817,38,444.0,0.2096927632922543,38,444.0
40.0,44,583.0,7.571428571428571,4.085876615293542,44,586.0,0.20774903287905083,44,586.0
45.0,54,831.0,10.012048192771084,3.455434082264348,54,831.0,0.12388973626106374,54,831.0
50.0,61,1102.0,12.244444444444444,2.552670860441584,61,1109.0,0.11451050024448409,61,1109.0
55.0,71,1429.0,15.042105263157895,2.272671906126735,71,1429.0,0.09818816663412964,71,1429.0
60.0,76,1783.0,18.38144329896907,2.228596614856943,76,1789.0,0.09428762222090792,76,1789.0
65.0,78,2167.0,22.572916666666668,2.1514254119416405,78,2167.0,0.06714895848375668,78,2167.0
70.0,76,2538.0,26.4375,2.2525336508938287,76,2541.0,0.08627960502724334,76,2541.0
75.0,78,2924.0,30.778947368421054,2.2277597441520953,78,2924.0,0.09081594758831625,78,2924.0
80.0,78,3303.0,34.76842105263158,1.5371498037096791,78,3303.0,0.06295513565135306,78,3303.0
85.0,80,3699.0,38.53125,1.9460147463320565,80,3699.0,0.07786955492580813,80,3699.0
90.0,77,4060.0,41.42857142857143,2.0299072752984753,77,4075.0,0.07989061045696838,77,4075.0
95.0,79,4452.0,45.42857142857143,2.2937438852308145,79,4452.0,0.0946655264766551,79,4452.0
100.0,82,4853.0,49.52040816326531,2.0781725357650083,82,4853.0,0.06456230327495102,82,4853.0
105.0,77,5199.0,52.515151515151516,1.9730651595807274,77,5226.0,0.0820224913609443,77,5226.0
110.0,78,5584.0,58.166666666666664,1.9447069411820863,78,5585.0,0.08940808608573639,78,5585.0
115.0,80,5980.0,61.02040816326531,2.291553981222865,80,5980.0,0.08350439682772738,80,5980.0
120.0,76,6338.0,65.34020618556701,2.031132714941953,76,6353.0,0.07795507285014541,76,6353.0
125.0,79,6727.0,70.07291666666667,2.1006041136480422,79,6727.0,0.07924869854427066,79,6727.0
130.0,77,7102.0,72.46938775510205,2.2233384525087714,77,7108.0,0.09415885301366057,77,7108.0
135.0,79,7490.0,77.21649484536083,1.9989440489857393,79,7490.0,0.0767794973102362,79,7490.0
140.0,81,7890.0,81.34020618556701,2.018113768964415,81,7890.0,0.08101734471601249,81,7890.0
