step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.128743817907358,0,0.0,0.9366213782937596,0,0.0
10.0,0,0.0,0.0,12.480347482609481,0,0.0,0.8957465834937306,0,0.0
15.0,3,5.0,0.1388888888888889,9.865522928729014,3,5.0,0.6806432790133473,3,5.0
20.0,11,47.0,1.0444444444444445,7.630454693431871,11,47.0,0.4931769281211497,11,47.0
25.0,21,134.0,2.627450980392157,5.805712743209287,21,134.0,0.40167521844044374,21,134.0
30.0,30,266.0,4.508474576271187,4.5343692706488845,30,266.0,0.30642311959595175,30,266.0
35.0,41,451.0,6.833333333333333,3.1294012122700914,41,451.0,0.20830439123084443,41,451.0
40.0,51,688.0,8.935064935064934,3.1528321840913898,51,688.0,0.18923237993310907,51,688.0
45.0,63,984.0,11.714285714285714,2.0874942097911675,63,984.0,0.10823902069156663,63,984.0
50.0,72,1331.0,14.159574468085106,1.9370201928593955,72,1331.0,0.089243103977073,72,1331.0
55.0,83,1729.0,17.29,1.4015750138987217,83,1729.0,0.06561353345395513,83,1729.0
60.0,91,2171.0,20.875,1.2801946961441943,91,2171.0,0.06238794647415376,91,2171.0
65.0,96,2642.0,24.69158878504673,1.1396137713145764,96,2642.0,0.05220102562411862,96,2642.0
70.0,98,3128.0,28.962962962962962,1.0238865186543404,98,3128.0,0.05564238567289915,98,3128.0
75.0,100,3624.0,33.24770642201835,0.9296801846405309,100,3624.0,0.049212218251318454,100,3624.0
80.0,102,4128.0,36.857142857142854,0.9804822796229304,102,4128.0,0.04312345749173003,102,4128.0
85.0,104,4644.0,40.38260869565217,1.1148991733213134,104,4644.0,0.025225197251047018,104,4644.0
90.0,106,5171.0,44.577586206896555,1.0382594138133612,106,5171.0,0.04449892734296003,106,5171.0
95.0,108,5706.0,48.76923076923077,1.0107299926305193,108,5706.0,0.04049047496801366,108,5706.0
100.0,109,6248.0,52.94915254237288,0.793050004816627,109,6248.0,0.025998660299476027,109,6248.0
105.0,112,6803.0,56.69166666666667,0.7364140187494832,112,6803.0,0.024996102881404615,112,6803.0
110.0,114,7369.0,61.40833333333333,0.6298572043468859,114,7369.0,0.032984791384949454,114,7369.0
115.0,114,7939.0,65.07377049180327,0.8400654957905018,114,7939.0,0.032810276160015465,114,7939.0
120.0,114,8509.0,69.74590163934427,0.8172251806259146,114,8509.0,0.032368181719174174,114,8509.0
125.0,114,9079.0,73.8130081300813,0.8984993850121603,114,9079.0,0.023694158097755432,114,9079.0
130.0,114,9649.0,79.74380165289256,0.7594613675691767,114,9649.0,0.032669988521460594,114,9649.0
135.0,114,10219.0,85.15833333333333,0.6457903165610268,114,10219.0,0.03247878046737358,114,10219.0
140.0,114,10789.0,88.43442622950819,0.828477442771601,114,10789.0,0.024247484490125457,114,10789.0
145.0,114,11359.0,93.10655737704919,0.8133477330522715,114,11359.0,0.03191664963465262,114,11359.0
150.0,114,11929.0,97.77868852459017,0.8061932834793311,114,11929.0,0.023551106622105737,114,11929.0
155.0,114,12499.0,102.45081967213115,0.8404644397890756,114,12499.0,0.032552090570292805,114,12499.0
160.0,114,13069.0,106.2520325203252,0.964496468337142,114,13069.0,0.03274748857703489,114,13069.0
165.0,114,13639.0,111.79508196721312,0.905244715963803,114,13639.0,0.024726998849416485,114,13639.0
170.0,114,14209.0,117.4297520661157,0.8099910227405511,114,14209.0,0.03254097893628497,114,14209.0
175.0,114,14779.0,123.15833333333333,0.6682381644930249,114,14779.0,0.02418104269936124,114,14779.0
180.0,114,15349.0,126.85123966942149,0.7803019717793844,114,15349.0,0.02446129579842299,114,15349.0
185.0,114,15919.0,131.56198347107437,0.7728141631882697,114,15919.0,0.032699348089869025,114,15919.0
190.0,114,16489.0,136.27272727272728,0.7759073866678111,114,16489.0,0.024969469473676103,114,16489.0
195.0,114,17059.0,139.827868852459,0.8683851110773021,114,17059.0,0.024497253906362152,114,17059.0
200.0,114,17629.0,144.5,0.8846593465128202,114,17629.0,0.032906826105712196,114,17629.0
205.0,114,18199.0,149.172131147541,0.8826035339908095,114,18199.0,0.024422793637463334,114,18199.0
210.0,114,18769.0,155.11570247933884,0.7871759002357201,114,18769.0,0.03245976376011387,114,18769.0
215.0,114,19339.0,158.51639344262296,0.908113361555675,114,19339.0,0.032241422457738214,114,19339.0
220.0,114,19909.0,163.18852459016392,0.9053974160449335,114,19909.0,0.024290197495302705,114,19909.0
225.0,114,20479.0,169.2479338842975,0.7519038729992775,114,20479.0,0.02447241989340266,114,20479.0
230.0,114,21049.0,175.40833333333333,0.6578264755020565,114,21049.0,0.031824056077346154,114,21049.0
235.0,114,21619.0,178.6694214876033,0.7515996447449473,114,21619.0,0.031787228014645195,114,21619.0
240.0,114,22189.0,181.87704918032787,0.8759225309339977,114,22189.0,0.032426321246171695,114,22189.0
245.0,114,22759.0,186.54918032786884,0.8586621396305181,114,22759.0,0.02381727206279904,114,22759.0
250.0,114,23329.0,191.22131147540983,0.8720531774367178,114,23329.0,0.02454046461799738,114,23329.0
255.0,114,23899.0,195.89344262295083,0.8742371315230631,114,23899.0,0.024616105143723314,114,23899.0
260.0,114,24469.0,203.90833333333333,0.6446848566259429,114,24469.0,0.024629890884112122,114,24469.0
265.0,114,25039.0,205.2377049180328,0.8479801201388764,114,25039.0,0.032515194511903385,114,25039.0
270.0,114,25609.0,209.90983606557376,0.8716603627069347,114,25609.0,0.0324738983608322,114,25609.0
275.0,114,26179.0,214.58196721311475,0.8721816814171983,114,26179.0,0.02556667547104399,114,26179.0
280.0,114,26749.0,219.25409836065575,0.8865500073977919,114,26749.0,0.016522502392043423,114,26749.0
285.0,114,27319.0,223.9262295081967,0.9007777140789859,114,27319.0,0.032205853385136436,114,27319.0
290.0,114,27889.0,230.48760330578511,0.8018293965954358,114,27889.0,0.032888651118341036,114,27889.0
295.0,114,28459.0,233.2704918032787,0.8766137912679027,114,28459.0,0.03247391980534892,114,28459.0
300.0,114,29029.0,239.9090909090909,0.7552860628262541,114,29029.0,0.025269651065984857,114,29029.0
305.0,114,29599.0,244.6198347107438,0.7488560885964023,114,29599.0,0.024416446540812455,114,29599.0
310.0,114,30169.0,249.3305785123967,0.7182988950128866,114,30169.0,0.03227081147846023,114,30169.0
315.0,114,30739.0,254.04132231404958,0.6996715219548767,114,30739.0,0.03175446381371066,114,30739.0
320.0,114,31309.0,254.54471544715446,0.8978949905054181,114,31309.0,0.03160744845585152,114,31309.0
325.0,114,31879.0,259.1788617886179,0.9241461004730303,114,31879.0,0.03312243527414619,114,31879.0
330.0,114,32449.0,268.1735537190083,0.7316984270640293,114,32449.0,0.015925852165976872,114,32449.0
335.0,114,33019.0,270.6475409836066,0.8371660975658756,114,33019.0,0.023882919567411884,114,33019.0
340.0,114,33589.0,275.3196721311475,0.831153842820075,114,33589.0,0.03168642090588734,114,33589.0
345.0,114,34159.0,279.9918032786885,0.8576593406737264,114,34159.0,0.03167405477392016,114,34159.0
350.0,114,34729.0,282.349593495935,0.9457542477475153,114,34729.0,0.03293520827284854,114,34729.0
355.0,114,35299.0,294.15833333333336,0.6405383267917392,114,35299.0,0.015584469458190057,114,35299.0
360.0,114,35869.0,294.0081967213115,0.839668036265201,114,35869.0,0.032215467451869755,114,35869.0
365.0,114,36439.0,303.65833333333336,0.6586463759723625,114,36439.0,0.032651914612493844,114,36439.0
370.0,114,37009.0,303.3524590163934,0.8416741916438099,114,37009.0,0.03293883524794499,114,37009.0
375.0,114,37579.0,305.520325203252,0.9594303181918139,114,37579.0,0.03265657788474949,114,37579.0
380.0,114,38149.0,312.6967213114754,0.8685393406141335,114,38149.0,0.02513847981893729,114,38149.0
385.0,114,38719.0,322.65833333333336,0.6723576514328039,114,38719.0,0.023843215925247206,114,38719.0
390.0,114,39289.0,324.702479338843,0.7712772177226205,114,39289.0,0.03205344204684011,114,39289.0
395.0,114,39859.0,329.41322314049586,0.7695243394623934,114,39859.0,0.03315432931574288,114,39859.0
400.0,114,40429.0,331.38524590163934,0.8678056598941063,114,40429.0,0.03259829568234623,114,40429.0
405.0,114,40999.0,336.05737704918033,0.869533419497843,114,40999.0,0.024740177068151948,114,40999.0
410.0,114,41569.0,343.54545454545456,0.7468319265365361,114,41569.0,0.016479911866054322,114,41569.0
