step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
65.0,33,727.0,12.53448275862069,3.0372422068908933,8,146.0,0.13991228690479685,7,190.0,0.1998348149203637,18,486.0,0.003365306068361247,0,0.0,1.0,33,822.0
70.0,44,926.0,16.24561403508772,2.1309004005907197,15,209.0,0.05828362944091724,10,233.0,0.08574642704330167,19,579.0,8.715264040795359e-06,0,0.0,0.7923650499894092,44,1021.0
75.0,47,1156.0,21.01818181818182,1.7220154688394924,18,294.0,0.0862613416096601,10,283.0,0.08324613246818922,19,674.0,4.692398979894331e-07,0,0.0,0.8068302207396428,47,1251.0
80.0,48,1393.0,25.327272727272728,1.392828934670637,19,386.0,0.046040776208742216,10,333.0,0.0833391153241732,19,769.0,0.0,0,0.0,0.8741328309672376,48,1488.0
85.0,49,1638.0,28.736842105263158,1.5273676100278244,20,486.0,0.04688476753153547,10,383.0,0.16217291420892177,19,864.0,0.0,0,0.0,0.9177031972899585,49,1733.0
90.0,50,1887.0,31.983050847457626,1.4178071199602762,21,590.0,0.03615124242487027,10,433.0,0.0905265441921639,19,959.0,0.0,0,0.0,0.975829918035978,50,1982.0
95.0,52,2144.0,36.96551724137931,1.1161961548083756,23,702.0,0.04041183230674384,10,483.0,0.16273604882650272,19,1054.0,0.0,0,0.0,0.9592729898218392,52,2239.0
100.0,53,2409.0,39.49180327868852,1.361736215709854,24,822.0,0.027220065832732048,10,533.0,0.19382748679810213,19,1149.0,0.0,0,0.0,0.975608258630945,53,2504.0
105.0,55,2681.0,41.890625,1.6318506166910145,26,949.0,0.037037037037037035,10,583.0,0.2991328799084055,19,1244.0,0.0,0,0.0,0.9766873766932684,55,2776.0
110.0,55,2956.0,44.78787878787879,1.5836020230508996,26,1079.0,0.03817059986840111,10,633.0,0.2648650687397791,19,1339.0,0.0,0,0.0,0.9640730632690405,55,3051.0
115.0,59,3242.0,48.38805970149254,1.3813092165590022,30,1220.0,0.00019912378793331915,10,683.0,0.18255457476494613,19,1434.0,0.0,0,0.0,0.9112380263663539,59,3337.0
120.0,59,3537.0,51.26086956521739,1.7163357848571201,30,1370.0,0.030306474457690975,10,733.0,0.15701733226107903,19,1529.0,0.0,0,0.0,0.8524475830342306,59,3632.0
