step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.808147809734704,0,0.0,1.0,0,0.0,0.9824693533425108,0,0.0,0.7871699634933579,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.755901163208394,0,0.0,0.9759469798039225,0,0.0,0.9630102298688737,0,0.0,0.9368781041651096,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.326375909858921,0,0.0,0.8883690986887978,0,0.0,0.9456232585453868,0,0.0,0.5231239760853312,0,0.0,0.9432490554983057,0,0.0
20.0,3,7.0,0.4375,10.994236969457493,0,0.0,0.9491784396028942,0,0.0,0.9670194506459381,3,7.0,0.38182137882848727,0,0.0,0.9599901860605127,3,7.0
25.0,4,23.0,1.0952380952380953,9.662846828993954,0,0.0,0.734379141080054,0,0.0,0.933362158558147,4,23.0,0.43035244850935456,0,0.0,0.9773756726871359,4,23.0
30.0,6,50.0,2.1739130434782608,7.87658109263269,1,4.0,0.4353678842017736,0,0.0,0.9474276026759347,5,46.0,0.30882252694445966,0,0.0,0.9197171307198729,6,50.0
35.0,7,79.0,2.925925925925926,7.355331259580873,0,5.0,0.5572379726767908,0,0.0,0.7711898910445271,7,79.0,0.19664996763872786,0,0.0,0.9390369451290472,7,84.0
40.0,9,121.0,4.321428571428571,8.053706449029564,1,2.0,0.7146195165024822,1,7.0,0.7512179298996641,7,114.0,0.125,0,0.0,0.9188031565127005,9,123.0
45.0,8,159.0,4.818181818181818,8.410605102837142,0,0.0,0.5827586761163833,1,12.0,0.7881879577664233,7,149.0,0.21635025233320893,0,0.0,0.9273409612312825,8,161.0
