step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.099810511431336,0,0.0,0.9713494696649618,0,0.0,0.9420001506409054,0,0.0,0.992401263629129,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.822140351951246,0,0.0,0.8810421585166367,0,0.0,0.8818911697560564,0,0.0,0.9634259925303488,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.244172839743024,0,0.0,0.779721030000033,0,0.0,0.9509345042097929,0,0.0,0.6924129537444116,0,0.0,0.9420001506409054,0,0.0
20.0,4,10.0,0.7142857142857143,8.03824367321775,2,4.0,0.47337697438726095,0,0.0,0.9545805898080517,2,6.0,0.41876640529468195,0,0.0,0.9606861732976724,4,10.0
25.0,4,19.0,1.0,7.504283763464029,1,9.0,0.5773121641168164,0,0.0,0.7523503134035086,3,17.0,0.20570227605796793,0,0.0,0.9436603183589016,4,26.0
30.0,6,44.0,1.9130434782608696,8.760454632534929,1,7.0,0.6778606261167466,1,1.0,0.6518117579794631,4,38.0,0.4263131165268624,0,0.0,0.9840956648605691,6,46.0
35.0,6,63.0,2.52,7.103298404029564,1,3.0,0.38003512328772976,1,6.0,0.6991376404891314,4,58.0,0.4123938670856297,0,0.0,0.9564835184045795,6,67.0
40.0,10,105.0,3.888888888888889,7.797484552357643,4,14.0,0.36509955293760854,1,13.0,0.7362760376873466,5,80.0,0.2723750981148593,0,0.0,0.9879967072902068,10,107.0
45.0,9,131.0,4.366666666666666,6.9590573132938465,3,24.0,0.35808199607073804,1,18.0,0.7078204486184575,5,105.0,0.005692363408814931,0,0.0,0.9469074575987393,9,147.0
50.0,11,173.0,5.242424242424242,7.195141410661976,3,23.0,0.5786673425912505,2,24.0,0.22982484293576166,6,136.0,0.2953788495450748,0,0.0,0.9626549457685627,11,183.0
55.0,11,205.0,5.54054054054054,6.578217053768448,1,25.0,0.4822817527210294,4,40.0,0.20025176542913842,6,166.0,0.4528350022087324,0,0.0,0.943867313706544,11,231.0
60.0,16,274.0,6.523809523809524,5.528069225955141,5,26.0,0.3469158152381226,4,62.0,0.48209728182133693,7,196.0,0.2503731797045668,0,0.0,0.8976228867426487,16,284.0
65.0,17,335.0,6.979166666666667,4.690305365872842,5,38.0,0.21705716330144342,4,82.0,0.4419917919535602,8,235.0,0.18254426061465875,0,0.0,0.9125187261799784,17,355.0
70.0,19,402.0,8.204081632653061,3.960148423990208,5,43.0,0.18001885062491468,5,104.0,0.22174377683393673,9,282.0,0.2511919763372083,0,0.0,0.9825571535402786,19,429.0
75.0,26,521.0,10.01923076923077,4.064976576038193,8,62.0,0.21698675536828235,7,137.0,0.18406857241702937,11,335.0,0.2552500585518181,0,0.0,0.9302898963719887,26,534.0
80.0,31,669.0,12.163636363636364,4.67331086864694,11,104.0,0.1869428704502808,7,172.0,0.2767761322079548,13,397.0,0.298292534047664,0,0.0,0.9303998885368447,31,673.0
85.0,33,773.0,13.101694915254237,4.441295669724607,13,145.0,0.2241967761220984,7,207.0,0.19440119405519704,13,462.0,0.2434825430991195,0,0.0,0.8159203014788728,33,814.0
90.0,32,855.0,14.01639344262295,4.445297467226467,11,167.0,0.2331155378835354,7,244.0,0.2626604939891901,14,531.0,0.07061138782035933,0,0.0,0.918722727864707,32,942.0
95.0,31,921.0,14.619047619047619,3.649644161906454,8,205.0,0.14319072571277525,7,279.0,0.313910675731937,16,607.0,0.022286556514808476,0,0.0,0.9193606187946407,31,1091.0
100.0,32,1027.0,16.3015873015873,3.2797932606932387,6,222.0,0.1210867712757043,9,322.0,0.2749344837057978,17,692.0,0.12034807414363496,0,0.0,0.946854880273776,32,1236.0
105.0,36,1196.0,19.29032258064516,3.580760528195683,7,243.0,0.16308394749917526,10,372.0,0.16056136910588437,19,782.0,0.2005421191090504,0,0.0,0.8993313375211324,36,1397.0
110.0,37,1339.0,20.28787878787879,3.690150949384571,8,251.0,0.18664443249264331,10,422.0,0.19772705538303087,19,875.0,0.1222681783198023,0,0.0,0.9234954925803086,37,1548.0
115.0,38,1473.0,21.66176470588235,4.0064222735690596,9,233.0,0.15213398334350803,10,474.0,0.3180287190178722,19,970.0,0.03754002889839616,0,0.0,0.9563451404165368,38,1677.0
120.0,40,1617.0,23.434782608695652,3.3045082970666764,10,272.0,0.16247523970705383,11,526.0,0.1285695533250283,19,1065.0,0.0,0,0.0,0.949724900697157,40,1863.0
125.0,38,1766.0,25.970588235294116,3.4980303511910567,6,294.0,0.19903265894205283,13,589.0,0.06831324451942232,19,1162.0,0.09310928643143371,0,0.0,0.8982597432588479,38,2045.0
130.0,39,1949.0,29.984615384615385,3.2894250664808022,7,316.0,0.20898611774105294,13,654.0,0.12566113828402914,19,1257.0,0.1824276876838088,0,0.0,0.8579223223281254,39,2227.0
135.0,41,2109.0,31.014705882352942,3.0407013557962146,9,314.0,0.14858354338878943,13,719.0,0.06861851584733146,19,1350.0,0.14913411617949104,0,0.0,0.9293856385474718,41,2383.0
140.0,41,2262.0,33.76119402985075,2.951046975809697,9,282.0,0.11184063124562871,13,786.0,0.07474313806029462,19,1445.0,0.07614512587944715,0,0.0,0.9533831327787411,41,2513.0
145.0,42,2418.0,36.63636363636363,2.275123552747245,8,320.0,0.12314841579889368,15,857.0,0.0014268574208977935,19,1540.0,0.0,0,0.0,0.91747979489349,42,2717.0
150.0,43,2597.0,40.578125,2.526710528129833,8,343.0,0.1745426025846336,16,937.0,0.054472709317365926,19,1637.0,0.08549792525624265,0,0.0,0.938083759228597,43,2917.0
155.0,42,2763.0,44.564516129032256,2.18136619171609,7,334.0,0.14679452446753777,16,1017.0,0.05586532319876369,19,1732.0,0.12010418369479653,0,0.0,1.0,42,3083.0
160.0,42,2938.0,45.2,2.113428263687463,6,323.0,0.18667800020429962,17,1100.0,0.05283986964085773,19,1825.0,0.045876288420517296,0,0.0,1.0,42,3248.0
165.0,42,3113.0,47.166666666666664,2.0638940356852187,5,334.0,0.17374773965751197,18,1189.0,0.051795672154989765,19,1920.0,0.0,0,0.0,0.9707373230222992,42,3443.0
170.0,43,3324.0,48.88235294117647,2.400179238210228,6,344.0,0.169982885437068,18,1279.0,0.1307511151209514,19,2017.0,0.08765410507488597,0,0.0,0.9713965696269992,43,3640.0
175.0,47,3552.0,50.74285714285714,3.0032577394388156,10,386.0,0.21867159412512416,18,1369.0,0.16905999681549175,19,2112.0,0.18402437006454433,0,0.0,0.9629383917741903,47,3867.0
180.0,51,3797.0,52.736111111111114,2.979481971287557,14,446.0,0.10981739200878629,18,1459.0,0.13098912899403878,19,2205.0,0.2115920121495529,0,0.0,0.8907129104226319,51,4110.0
185.0,54,4057.0,54.82432432432432,2.8165809230708274,17,523.0,0.10754222710750133,18,1549.0,0.05077960653977876,19,2300.0,0.15844402275633845,0,0.0,0.9158749672688808,54,4372.0
190.0,58,4342.0,58.67567567567568,2.5387496368991918,21,623.0,0.06701670717767431,18,1639.0,0.05001729943404193,19,2395.0,0.0487478941961357,0,0.0,0.8820428329557157,58,4657.0
195.0,56,4615.0,64.09722222222223,2.1640665069381564,19,719.0,0.01559490478182572,18,1729.0,0.05142177383933949,19,2490.0,0.0,0,0.0,0.9846221913195877,56,4938.0
200.0,56,4895.0,69.92857142857143,2.3789782403279256,19,806.0,0.023361788685302497,18,1819.0,0.050253681199577425,19,2587.0,0.0866573154026987,0,0.0,0.922550265555029,56,5212.0
205.0,56,5175.0,78.4090909090909,1.8663343683163505,19,901.0,0.0747604300371953,18,1909.0,0.05058112111786034,19,2682.0,0.1530652413767594,0,0.0,0.9078204023112697,56,5492.0
210.0,56,5455.0,81.41791044776119,2.068628014154312,19,996.0,0.12203685921231151,18,1999.0,0.05099525129636854,19,2775.0,0.08117612442741372,0,0.0,0.9938841611672049,56,5770.0
215.0,56,5735.0,86.89393939393939,1.9244445965878816,19,1091.0,0.04601809593596213,18,2089.0,0.05088099981342568,19,2870.0,0.04904676100355818,0,0.0,0.9649816570029576,56,6050.0
