step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.233568838009374,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9382954109029189,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.495289619832505,0,0.0,0.9586081014259541,0,0.0,0.9279075374857679,0,0.0,0.9292087793717485,0,0.0,1.0,0,0.0
15.0,1,1.0,0.07692307692307693,10.646767195102647,0,0.0,0.9356862753946752,0,0.0,0.9478857642474209,1,1.0,0.5966578091730306,0,0.0,1.0,1,1.0
20.0,3,10.0,0.5882352941176471,8.575856782551389,1,1.0,0.5549564615383941,0,0.0,0.8714461862602985,2,9.0,0.5219572800621405,0,0.0,0.9750342988425984,3,10.0
25.0,4,26.0,1.3,7.926896751775113,1,5.0,0.6338423494996879,0,0.0,0.9647946325908207,3,24.0,0.30790083129802187,0,0.0,0.912697954314253,4,29.0
30.0,8,58.0,2.761904761904762,7.227726453250016,2,8.0,0.3069999650249114,0,0.0,0.9440059991286185,6,52.0,0.33808507581136116,0,0.0,0.8714537718760977,8,60.0
35.0,8,86.0,3.44,7.147007774678945,0,4.0,0.5172794385697143,0,0.0,0.679277428727057,8,88.0,0.3147010122856463,0,0.0,0.8649350180709245,8,92.0
40.0,10,134.0,4.32258064516129,7.611736292876284,1,3.0,0.7106312180683804,1,7.0,0.7812968379668526,8,126.0,0.2358175504564382,0,0.0,0.94578867865784,10,136.0
45.0,11,180.0,5.0,8.000497581227755,0,0.0,0.9011259530253305,1,12.0,0.7758831125629854,10,170.0,0.1105627606117904,0,0.0,0.9591969218517914,11,182.0
50.0,14,243.0,6.230769230769231,7.5086848215759625,0,0.0,0.8118287746617454,2,19.0,0.5018255673801287,12,228.0,0.23973917381598864,0,0.0,0.9766579690965497,14,247.0
55.0,17,324.0,8.1,5.985599627329082,0,0.0,0.5038199401071272,3,33.0,0.5321701731366512,14,295.0,0.20201886695933982,0,0.0,0.9490512700228014,17,328.0
60.0,20,417.0,9.928571428571429,6.407158041563307,1,3.0,0.6307343887396768,3,48.0,0.6121506083669863,16,368.0,0.09115036212634284,0,0.0,0.9102968000198278,20,419.0
65.0,19,509.0,11.568181818181818,6.603474649182246,0,0.0,0.8305904330665328,3,63.0,0.5835993750827768,16,448.0,0.036610921097992584,0,0.0,0.8721046114195747,19,511.0
70.0,22,610.0,13.863636363636363,4.999737717860987,1,3.0,0.7238843006035924,4,80.0,0.11528082356772641,17,531.0,0.09071819228158817,0,0.0,0.9107446278241025,22,614.0
75.0,25,726.0,17.285714285714285,4.423756162889863,0,0.0,0.6075220377452316,6,109.0,1.3930686702809537e-05,19,621.0,0.12912900496158894,0,0.0,0.835014011365348,25,730.0
80.0,25,851.0,21.82051282051282,4.4826247053539685,0,0.0,0.966987653908576,6,141.0,0.20058837230375826,19,714.0,0.04869522785254178,0,0.0,0.8365321853092328,25,855.0
85.0,25,976.0,24.4,4.1150826577584825,0,0.0,0.8616794618437055,6,171.0,0.08028469397528555,19,809.0,0.03991463971707417,0,0.0,1.0,25,980.0
90.0,27,1105.0,27.625,4.187368147004422,0,0.0,0.968436484738247,8,205.0,0.1855947024508136,19,904.0,0.09021726856844567,0,0.0,1.0,27,1109.0
95.0,27,1240.0,27.555555555555557,5.010479361618658,0,0.0,0.9559317095283133,8,245.0,0.40836912879811854,19,999.0,0.08868236767994185,0,0.0,1.0,27,1244.0
100.0,28,1376.0,29.91304347826087,4.659485099083392,1,1.0,0.7619395196847334,8,285.0,0.4007858467026777,19,1094.0,0.0,0,0.0,0.9334348168422563,28,1380.0
105.0,29,1514.0,30.28,4.261625011180749,0,0.0,0.5328042130797699,10,329.0,0.33563012423558397,19,1189.0,0.0,0,0.0,0.8477173786811627,29,1518.0
110.0,31,1666.0,32.666666666666664,4.461816544257997,2,7.0,0.4417040389989084,10,379.0,0.21798002053385673,19,1286.0,0.12807932931523036,0,0.0,0.8520577902247165,31,1672.0
115.0,30,1806.0,34.075471698113205,4.505978047872411,1,9.0,0.44363642659979596,10,429.0,0.15392907383638452,19,1381.0,0.15895077547785602,0,0.0,0.8211809463506345,30,1819.0
120.0,30,1954.0,34.892857142857146,5.223906319572403,1,7.0,0.5744145813683699,10,481.0,0.29235337391307886,19,1474.0,0.07878015570070025,0,0.0,0.8480540268123751,30,1962.0
125.0,32,2101.0,37.517857142857146,4.25625801501989,2,10.0,0.3968500634248959,11,533.0,0.14661463769848668,19,1569.0,0.0,0,0.0,0.8528824060331803,32,2112.0
130.0,34,2267.0,39.771929824561404,4.532627022912547,2,17.0,0.5123493081679868,13,594.0,0.12393143070387282,19,1666.0,0.12063652291276136,0,0.0,0.9042859169637829,34,2277.0
135.0,34,2416.0,42.3859649122807,4.533002837586242,2,13.0,0.48809053418971104,13,659.0,0.1817990898137499,19,1761.0,0.12867869320149403,0,0.0,0.9440116280554819,34,2433.0
140.0,37,2594.0,48.03703703703704,3.663805786835656,5,22.0,0.29952042004938484,13,726.0,0.16680664255259345,19,1854.0,0.04189148646148997,0,0.0,0.9761630500914785,37,2602.0
145.0,37,2754.0,50.07272727272727,3.4977576795009457,3,35.0,0.4307889095836684,15,795.0,0.05708090755357007,19,1949.0,0.0,0,0.0,0.9747123792940547,37,2779.0
150.0,36,2911.0,52.92727272727273,3.497597238548458,1,22.0,0.4701617168411302,16,874.0,1.2072250960934143e-05,19,2046.0,0.11818994153731421,0,0.0,0.9591076954413479,36,2942.0
155.0,35,3085.0,57.129629629629626,3.2965382684019353,0,15.0,0.43095683647733907,16,954.0,0.05639217563147073,19,2141.0,0.16627294238440135,0,0.0,0.9826713982872672,35,3110.0
160.0,38,3268.0,57.333333333333336,2.979725281818235,2,20.0,0.27117775747324063,17,1037.0,0.14062883294713655,19,2234.0,0.08891549000990048,0,0.0,1.0,38,3291.0
165.0,42,3463.0,57.71666666666667,3.1521476409709397,5,32.0,0.28603758838121013,18,1127.0,0.17191413256825214,19,2329.0,0.0,0,0.0,0.9418875309013578,42,3488.0
170.0,39,3649.0,58.854838709677416,3.678332799769166,2,34.0,0.36009183898529723,18,1217.0,0.1945643828097759,19,2426.0,0.12077021527563478,0,0.0,0.9869218165597129,39,3677.0
175.0,40,3845.0,60.078125,3.7043791932561314,3,41.0,0.2942546191192887,18,1307.0,0.17564609619494903,19,2521.0,0.1529918727606705,0,0.0,0.9327300715433843,40,3869.0
180.0,43,4055.0,60.52238805970149,3.60297628383229,6,66.0,0.3181381801986033,18,1397.0,0.08472337961488682,19,2614.0,0.07559152841990596,0,0.0,0.9582367693083859,43,4077.0
185.0,44,4257.0,62.60294117647059,3.412959674638137,7,91.0,0.25239949817358465,18,1487.0,0.05263157894736842,19,2709.0,0.0,0,0.0,0.9169732932289929,44,4287.0
190.0,44,4461.0,68.63076923076923,2.6829424526285317,7,110.0,0.09712978881798381,18,1577.0,0.09214211130387422,19,2806.0,0.08041111564887235,0,0.0,0.8719546107851278,44,4493.0
195.0,47,4683.0,70.95454545454545,2.8801930179332325,10,150.0,0.21802616365325722,18,1667.0,0.09506756894724348,19,2901.0,0.11826400939152405,0,0.0,0.733547663684569,47,4718.0
