step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
50.0,52,844.0,10.292682926829269,3.494940116087234,19,343.0,0.2085263039455928,14,155.0,0.2129700043249868,19,347.0,8.363050345564933e-05,0,0.0,0.8354011991832844,52,845.0
55.0,55,1113.0,13.094117647058823,3.3078169344582977,19,438.0,0.14413994575791023,17,234.0,0.16385047104695746,19,442.0,5.575152289621737e-07,0,0.0,0.823237883195428,55,1114.0
60.0,60,1404.0,15.954545454545455,3.0552667416465833,23,544.0,0.09648452600062395,18,324.0,0.1983632799646582,19,537.0,0.0,0,0.0,0.8041186745879444,60,1405.0
65.0,63,1709.0,18.988888888888887,2.736455824559138,26,665.0,0.07052076953526586,18,414.0,0.19563638295497954,19,632.0,6.763684705374444e-07,0,0.0,0.7656597123404413,63,1711.0
70.0,66,2032.0,22.08695652173913,2.5124305832489555,29,803.0,0.04418354911844365,18,504.0,0.19451653981503336,19,727.0,0.0,0,0.0,0.8107819923390858,66,2034.0
75.0,69,2372.0,25.782608695652176,2.226261438838486,32,958.0,0.010219792096029497,18,594.0,0.16782196678477926,19,822.0,0.0,0,0.0,0.8874124447531351,69,2374.0
80.0,70,2543.0,27.344086021505376,2.3294164363945296,33,1064.0,0.008264460411635637,18,684.0,0.17228743534480692,19,917.0,0.0,0,0.0,0.844192718579451,70,2665.0
85.0,67,2601.0,27.967741935483872,2.7502189930503684,30,1104.0,0.03252863027249123,18,774.0,0.19953189199842028,19,1014.0,0.09094493974179435,0,0.0,0.7984655422692125,67,2892.0
90.0,63,2709.0,29.445652173913043,3.0489417310524245,26,1067.0,0.059601141385782395,18,864.0,0.19444705714777089,19,1109.0,0.18403916004798693,0,0.0,0.7405352628892757,63,3040.0
95.0,58,2755.0,29.0,3.7920189557366477,21,1070.0,0.11550505633772565,18,954.0,0.20044662231680846,19,1202.0,0.20154123580108427,0,0.0,0.8366719810031984,58,3226.0
100.0,56,2936.0,30.905263157894737,4.078550028463488,19,1112.0,0.1415449017150103,18,1044.0,0.18575805891174715,19,1297.0,0.1853264564553634,0,0.0,0.8934667182161649,56,3453.0
105.0,59,3225.0,33.59375,3.730342281475837,22,1216.0,0.10616866933409345,18,1134.0,0.21433459276254652,19,1392.0,0.09059219321377872,0,0.0,0.8246615297137924,59,3742.0
