step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.90954459067098,0,0.0,0.9682541397549954,0,0.0,0.7108650533781802,0,0.0,0.7867859382432819,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.248157211057539,0,0.0,0.953831893919906,0,0.0,0.9050453317822087,0,0.0,0.7414529802792776,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.047524366262927,0,0.0,0.730983214316048,0,0.0,0.9385383293532366,0,0.0,0.7580941238774427,0,0.0,0.9476928670493919,0,0.0
20.0,1,3.0,0.10714285714285714,9.364557522992156,0,0.0,0.6879028983117397,0,0.0,0.9528834417300717,1,3.0,0.5325396829086882,0,0.0,0.9031435233810017,1,3.0
25.0,6,22.0,0.5945945945945946,9.237948695118986,1,3.0,0.6521233829314076,0,1.0,0.9124318897064185,5,19.0,0.2826144773977439,0,0.0,0.8927261396856633,6,23.0
30.0,9,52.0,1.1555555555555554,8.223442479863184,2,7.0,0.4985616510840233,0,1.0,0.9387654842066978,7,49.0,0.16105782523059545,0,0.0,0.9308908005883678,9,57.0
35.0,14,114.0,2.375,6.952375647343565,3,17.0,0.39051799593998604,0,1.0,0.6422184661476177,11,99.0,0.21200832539638967,0,0.0,0.9218529348897778,14,117.0
40.0,19,178.0,3.358490566037736,6.068457370023445,4,30.0,0.32880783469225183,2,8.0,0.49103324142180704,13,160.0,0.234224969854284,0,0.0,0.9085554768756939,19,198.0
45.0,21,264.0,4.47457627118644,5.561123049084844,5,32.0,0.2812910820149193,3,25.0,0.6312323484140665,13,223.0,0.09873634226896182,0,0.0,0.922556681239638,21,280.0
50.0,23,354.0,5.709677419354839,4.8166080630666,4,42.0,0.2071519995860313,3,40.0,0.5550261922420909,16,298.0,0.005138727694527565,0,0.0,0.9345172082029188,23,380.0
55.0,29,461.0,7.203125,4.236445426539486,5,53.0,0.18471269877989094,5,60.0,0.3055663331829969,19,390.0,0.11657206779451194,0,0.0,0.9648477999733374,29,503.0
60.0,32,589.0,9.061538461538461,4.075650961547028,6,70.0,0.2146558540152603,7,92.0,0.21144582315868168,19,485.0,0.1609096650233712,0,0.0,0.9483202475618764,32,647.0
65.0,29,711.0,11.109375,3.7639855346075635,3,72.0,0.2052607310918956,7,129.0,0.19324246476231716,19,578.0,0.04974627120531715,0,0.0,0.9455724773619464,29,779.0
70.0,29,840.0,12.923076923076923,3.325570185135308,3,77.0,0.18743703611318216,7,164.0,0.14609893942610142,19,673.0,0.0,0,0.0,0.9961502326861758,29,914.0
75.0,34,986.0,14.085714285714285,3.0998903724609526,5,73.0,0.1402360218572832,10,208.0,0.20513357071187807,19,770.0,0.11813588838738193,0,0.0,1.0,34,1051.0
80.0,34,1132.0,16.405797101449274,2.453679859204557,5,75.0,0.12588338523976172,10,258.0,0.2569042676705645,19,865.0,0.1362787710479995,0,0.0,1.0,34,1198.0
85.0,36,1282.0,17.805555555555557,2.9926785739554607,7,77.0,0.11432277766651389,10,310.0,0.3745494860732537,19,958.0,0.1092664122560362,0,0.0,0.9162081959977673,36,1345.0
90.0,35,1421.0,19.465753424657535,2.7915435381662568,5,96.0,0.11928720457966226,11,362.0,0.25017390838908193,19,1053.0,0.0,0,0.0,0.8978230303202577,35,1511.0
95.0,37,1581.0,20.532467532467532,3.357744003159392,5,105.0,0.12446228435229599,13,423.0,0.24592766482043624,19,1150.0,0.08603866286596219,0,0.0,0.8633729972650183,37,1678.0
100.0,38,1741.0,21.493827160493826,3.3062702987638346,6,114.0,0.11568801940369079,13,488.0,0.2404700082977249,19,1245.0,0.13324946143997365,0,0.0,0.8557917692332151,38,1847.0
105.0,42,1913.0,23.329268292682926,3.424227505306964,10,123.0,0.12026059702238938,13,555.0,0.26556342065302285,19,1338.0,0.048490871561405115,0,0.0,0.8895135365311887,42,2016.0
110.0,42,2077.0,25.02409638554217,3.141814827693438,8,138.0,0.11884704470233698,15,625.0,0.14538013658621468,19,1433.0,0.0,0,0.0,0.8968090383145129,42,2196.0
115.0,43,2245.0,27.048192771084338,3.2528253264250178,7,143.0,0.13590566751117258,17,706.0,0.12782520071995399,19,1530.0,0.11635834435766283,0,0.0,0.8643063068498708,43,2379.0
120.0,43,2423.0,29.91358024691358,3.143439811416704,7,147.0,0.12666227851553077,17,791.0,0.17663855766061756,19,1625.0,0.15562419138251177,0,0.0,0.8880747553098853,43,2563.0
125.0,43,2602.0,31.349397590361445,2.737288067952029,7,175.0,0.09549300600937265,17,878.0,0.1380910064770721,19,1718.0,0.08499811485678459,0,0.0,0.8635954991808332,43,2771.0
130.0,46,2796.0,32.89411764705882,2.7045443819399955,9,197.0,0.08601814084499207,18,968.0,0.17676120234333165,19,1813.0,0.0,0,0.0,0.8805765876948805,46,2978.0
135.0,45,3000.0,34.883720930232556,2.7817376011053967,8,209.0,0.07519803488740676,18,1058.0,0.1886101817939111,19,1910.0,0.08202736776453318,0,0.0,0.9331083283608388,45,3177.0
140.0,49,3230.0,37.12643678160919,2.736257071782643,12,257.0,0.06910438145937904,18,1148.0,0.18425288556474634,19,2005.0,0.1266963762156536,0,0.0,0.8607872421687457,49,3410.0
145.0,56,3494.0,41.10588235294118,2.4403916098194123,19,336.0,0.05019033542919678,18,1238.0,0.17103971788464933,19,2098.0,0.04794044704533601,0,0.0,0.8393512982331425,56,3672.0
150.0,58,3756.0,43.172413793103445,2.5148951763374203,21,417.0,0.05467437255918007,18,1328.0,0.229202564253471,19,2193.0,0.0,0,0.0,0.8309240826869142,58,3938.0
155.0,58,4025.0,45.2247191011236,2.8243025948940224,21,476.0,0.04807025162031431,18,1418.0,0.2045290254224049,19,2290.0,0.11935422407458059,0,0.0,0.8928573816985627,58,4184.0
160.0,57,4302.0,48.337078651685395,3.266249414341758,20,559.0,0.09374014673381377,18,1508.0,0.20185850966003435,19,2385.0,0.21028052852859286,0,0.0,0.8680929247821025,57,4452.0
165.0,56,4581.0,50.34065934065934,3.7746909609805024,19,640.0,0.12184070629588895,18,1598.0,0.20771410980963756,19,2478.0,0.20323796882992348,0,0.0,0.8851546620939719,56,4716.0
170.0,56,4861.0,52.83695652173913,4.005282362736521,19,732.0,0.14007689209418506,18,1688.0,0.23888158163571688,19,2573.0,0.17155579994455897,0,0.0,0.8966135368039007,56,4993.0
175.0,58,5147.0,55.344086021505376,3.6981952452501594,21,833.0,0.10247009002348938,18,1778.0,0.21649155474150908,19,2668.0,0.11752571932479751,0,0.0,0.8495460375298226,58,5279.0
180.0,58,5425.0,58.333333333333336,3.4279231411453877,21,933.0,0.07354470729094376,18,1868.0,0.19564880342896993,19,2763.0,0.0,0,0.0,0.8701767363203464,58,5564.0
185.0,57,5702.0,62.65934065934066,3.455408097473024,20,1023.0,0.1058939001007517,18,1958.0,0.12421982300777087,19,2860.0,0.080007975910541,0,0.0,0.8195621978782821,57,5841.0
190.0,56,5981.0,66.45555555555555,3.3061931317623445,19,1111.0,0.08695059362890918,18,2048.0,0.08994007001350936,19,2955.0,0.18096654857480832,0,0.0,0.8298392316539304,56,6114.0
195.0,56,6261.0,71.96551724137932,3.4424928359612568,19,1200.0,0.11838000991581447,18,2138.0,0.09626595772020696,19,3048.0,0.19615639777002022,0,0.0,0.8145723742398147,56,6386.0
200.0,56,6541.0,74.32954545454545,3.9264105997998384,19,1292.0,0.1734316905563669,18,2228.0,0.09533057721904492,19,3143.0,0.2046678602152153,0,0.0,0.8082553281097334,56,6663.0
