step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,9.495449423774431,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.289229778803126,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.237446103854005,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,12.338744302738009,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,12.33796015747362,0,0.0,1.0,0,0.0,0.945892957708608,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,12.824146752843895,0,0.0,1.0,0,0.0,0.9604297730525124,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,12.49027606203056,0,0.0,1.0,0,0.0,0.967877156759807,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9321753594853979,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,12.524509241638173,0,0.0,1.0,0,0.0,0.9514514174695439,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9219854354284109,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,12.662418764006205,0,0.0,1.0,0,0.0,0.9536418326039262,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9801488477295355,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9539419272711166,0,0.0
50.0,0,0.0,0.0,12.928336792749333,0,0.0,1.0,0,0.0,0.9796734001519807,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9328751390711065,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9500587443819019,0,0.0
55.0,0,0.0,0.0,12.673046950793598,0,0.0,1.0,0,0.0,0.9340886394566116,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9857560483183849,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9331518631220395,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9643710162825678,0,0.0
60.0,0,0.0,0.0,12.490975396186457,0,0.0,1.0,0,0.0,0.945978035349983,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9609065404079121,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.937752168727588,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9564217496286241,0,0.0
65.0,0,0.0,0.0,12.2562086581119,0,0.0,1.0,0,0.0,0.9534935981439763,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9612638943785167,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9149292807944617,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9264248772498072,0,0.0
70.0,0,0.0,0.0,12.432486280813421,0,0.0,1.0,0,0.0,0.9507092627174268,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9315502434953808,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9434954206424185,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9446237574232164,0,0.0
75.0,0,0.0,0.0,12.156747750191899,0,0.0,1.0,0,0.0,0.9247498223719809,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9179384308730005,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9600987951665916,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9509885602226685,0,0.0
80.0,0,0.0,0.0,12.08751060877726,0,0.0,1.0,0,0.0,0.8994465711461617,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9264066368668576,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9550299892842423,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9457957765784794,0,0.0
85.0,0,0.0,0.0,11.944321483027503,0,0.0,1.0,0,0.0,0.9093698921458103,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9465883631178085,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9315102496243313,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9719776760337137,0,0.0
90.0,0,0.0,0.0,12.050989262398444,0,0.0,1.0,0,0.0,0.9247968382746488,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9335765626661992,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9688680913392429,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9369961137170355,0,0.0
95.0,0,0.0,0.0,11.75094705261421,0,0.0,1.0,0,0.0,0.9454722966847798,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9403032163491112,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8778000147151108,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9239199620360654,0,0.0
100.0,0,0.0,0.0,11.714792073386736,0,0.0,1.0,0,0.0,0.9459401423357822,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9417423046158149,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9142524837978978,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8857104413166794,0,0.0
105.0,0,0.0,0.0,11.653731466413701,0,0.0,1.0,0,0.0,0.8826146141648032,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9457010666529106,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9350562153480044,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9049370909386912,0,0.0
110.0,0,0.0,0.0,11.472358302730788,0,0.0,1.0,0,0.0,0.8413290604300981,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9329709078669821,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9217810529242639,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8736536299519518,0,0.0
115.0,0,0.0,0.0,11.593989275683992,0,0.0,1.0,0,0.0,0.8291281908479996,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.938203495393284,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9091796791587249,0,0.0
